dato,Ordinær skatt på utvinning av petroleum,Særskatt på utvinning av petroleum,Skatteinngang i alt
2009-08,80.5,137.9,749.6
2009-09,79.5,136.6,753.4
2009-10,70.1,119.9,715.8
2009-11,69.9,120.3,721.4
2009-12,61.5,103.7,694.7
2010-01,61.5,103.7,695.4
2010-02,56.6,94.7,680.4
2010-03,56.6,94.7,681.2
2010-04,53.0,87.7,661.5
2010-05,53.1,87.7,685.9
2010-06,50.1,81.7,676.4
2010-07,51.6,84.0,682.2
2010-08,52.8,86.3,685.6
2010-09,53.8,87.6,691.6
2010-10,55.3,90.2,695.2
2010-11,55.6,89.9,695.5
2010-12,59.2,96.4,705.4
2011-01,59.3,96.4,710.9
2011-02,62.0,101.1,721.5
2011-03,62.1,101.3,728.0
2011-04,64.0,104.7,737.6
2011-05,64.0,104.7,733.7
2011-06,66.8,109.5,740.9
2011-07,66.4,108.9,743.3
2011-08,70.3,115.2,754.8
2011-09,71.0,116.4,762.2
2011-10,74.4,121.9,777.7
2011-11,74.6,121.7,789.7
2011-12,78.2,127.7,798.7
2012-01,78.3,127.7,801.6
2012-02,81.3,132.6,811.5
2012-03,81.4,132.8,818.7
2012-04,83.8,136.7,826.3
2012-05,83.8,136.7,830.2
2012-06,86.6,141.3,837.6
2012-07,86.9,141.9,844.0
2012-08,86.8,142.3,845.7
2012-09,86.1,141.1,850.6
2012-10,86.8,142.9,853.7
2012-11,86.6,143.6,853.1
2012-12,85.8,142.9,850.2
2013-01,85.8,142.9,855.5
2013-02,85.1,142.3,853.3
2013-03,84.9,142.0,857.8
2013-04,89.5,150.2,869.6
2013-05,89.4,150.0,876.1
2013-06,88.7,149.5,876.4
2013-07,88.6,149.3,881.5
2013-08,85.5,143.3,871.9
2013-09,85.5,143.3,877.1
2013-10,82.5,137.5,872.1
2013-11,82.8,137.4,877.6
2013-12,76.1,125.4,858.4
2014-01,76.3,125.7,862.0
2014-02,74.8,122.3,860.2
2014-03,74.7,122.2,865.0
2014-04,69.0,111.8,848.6
2014-05,69.5,112.7,845.9
2014-06,67.9,109.2,841.5
2014-07,67.8,109.1,843.7
2014-08,66.3,107.2,839.8
2014-09,66.3,107.3,842.7
2014-10,64.4,104.7,834.1
2014-11,63.9,104.6,836.5
2014-12,64.2,105.8,838.5
2015-01,64.6,106.5,841.1
2015-02,61.1,101.3,828.8
2015-03,61.1,101.2,831.1
2015-04,57.4,95.8,823.6
2015-05,56.8,94.7,826.2
2015-06,54.1,90.9,820.1
2015-07,54.4,91.2,822.8
2015-08,50.6,84.2,813.7
2015-09,50.5,84.2,820.3
2015-10,46.9,77.5,810.5
2015-11,47.1,77.2,814.9
2015-12,39.5,64.2,796.0
2016-01,38.9,63.2,796.1
2016-02,35.1,56.5,785.7
2016-03,35.2,56.6,788.0
2016-04,30.8,48.9,773.9
2016-05,31.1,49.3,783.8
2016-06,26.7,41.6,770.7
2016-07,26.2,40.7,770.3
2016-08,23.0,35.9,764.8
2016-09,23.2,36.3,768.3
2016-10,19.6,30.3,760.0
2016-11,12.8,19.7,748.9
2016-12,16.0,25.1,756.0
2017-01,16.0,25.1,759.7
2017-02,14.8,23.3,756.2
2017-03,15.1,23.9,760.9
2017-04,14.0,22.4,759.6
2017-05,14.0,22.3,770.0
2017-06,12.6,20.3,767.1
2017-07,12.0,19.3,767.0
2017-08,14.5,24.1,773.9
2017-09,14.9,24.7,777.9
2017-10,16.8,30.0,783.6
2017-11,21.1,36.5,802.7
