dato,usd
1987-06,18.8604761904761905
1987-07,19.8565217391304348
1987-08,18.9795238095238095
1987-09,18.3131818181818182
1987-10,18.7577272727272727
1987-11,17.7809523809523810
1987-12,17.0540909090909091
1988-01,16.7494444444444444
1988-02,15.7295238095238095
1988-03,14.7313043478260870
1988-04,16.5952631578947368
1988-05,16.3140909090909091
1988-06,15.5436363636363636
1988-07,14.9076190476190476
1988-08,14.8939130434782609
1988-09,13.1795454545454545
1988-10,12.4057142857142857
1988-11,13.0245454545454545
1988-12,15.3066666666666667
1989-01,17.1719047619047619
1989-02,16.8885000000000000
1989-03,18.7009523809523810
1989-04,20.3195000000000000
1989-05,18.6331818181818182
1989-06,17.6709090909090909
1989-07,17.6228571428571429
1989-08,16.7700000000000000
1989-09,17.7661904761904762
1989-10,18.9077272727272727
1989-11,18.7272727272727273
1989-12,19.8389473684210526
1990-01,21.2518181818181818
1990-02,19.8135000000000000
1990-03,18.3872727272727273
1990-04,16.6121052631578947
1990-05,16.3522727272727273
1990-06,15.1047619047619048
1990-07,17.1690909090909091
1990-08,27.1673913043478261
1990-09,34.8990000000000000
1990-10,36.0226086956521739
1990-11,33.0672727272727273
1990-12,28.2735000000000000
1991-01,23.5663636363636364
1991-02,19.5360000000000000
1991-03,19.0825000000000000
1991-04,19.1800000000000000
1991-05,19.1868181818181818
1991-06,18.1675000000000000
1991-07,19.3969565217391304
1991-08,19.7727272727272727
1991-09,20.5019047619047619
1991-10,22.2060869565217391
1991-11,21.1085714285714286
1991-12,18.4109523809523810
1992-01,18.1636363636363636
1992-02,18.0535000000000000
1992-03,17.6309090909090909
1992-04,18.9190476190476190
1992-05,19.8885000000000000
1992-06,21.1581818181818182
1992-07,20.2365217391304348
1992-08,19.7380952380952381
1992-09,20.2700000000000000
1992-10,20.2618181818181818
1992-11,19.2142857142857143
1992-12,18.1395238095238095
1993-01,17.3860000000000000
1993-02,18.4663157894736842
1993-03,18.7852173913043478
1993-04,18.6745000000000000
1993-05,18.5078947368421053
1993-06,17.6527272727272727
1993-07,16.7754545454545455
1993-08,16.6961904761904762
1993-09,16.0118181818181818
1993-10,16.6066666666666667
1993-11,15.1963636363636364
1993-12,13.7257142857142857
1994-01,14.2915000000000000
1994-02,13.8020000000000000
1994-03,13.8226086956521739
1994-04,15.2315789473684211
1994-05,16.1880000000000000
1994-06,16.7631818181818182
1994-07,17.5995238095238095
1994-08,16.8927272727272727
1994-09,15.8950000000000000
1994-10,16.4904761904761905
1994-11,17.1913636363636364
1994-12,15.9320000000000000
1995-01,16.5519047619047619
1995-02,17.1145000000000000
1995-03,17.0065217391304348
1995-04,18.6483333333333333
1995-05,18.3509090909090909
1995-06,17.3127272727272727
1995-07,15.8542857142857143
1995-08,16.0963636363636364
1995-09,16.6995238095238095
1995-10,16.1109090909090909
1995-11,16.8609090909090909
1995-12,17.9252631578947368
1996-01,17.8531818181818182
1996-02,17.9990476190476190
1996-03,19.8519047619047619
1996-04,20.9005000000000000
1996-05,19.1547619047619048
1996-06,18.4565000000000000
1996-07,19.5708695652173913
1996-08,20.5123809523809524
1996-09,22.6304761904761905
1996-10,24.1626086956521739
1996-11,22.7595238095238095
1996-12,23.7830000000000000
1997-01,23.5376190476190476
1997-02,20.8505263157894737
1997-03,19.1330000000000000
1997-04,17.5559090909090909
1997-05,19.0228571428571429
1997-06,17.5800000000000000
1997-07,18.4645000000000000
1997-08,18.5955000000000000
1997-09,18.4609523809523810
1997-10,19.8652173913043478
1997-11,19.1742105263157895
1997-12,17.1819047619047619
1998-01,15.1866666666666667
1998-02,14.0695000000000000
1998-03,13.1031818181818182
1998-04,13.5265000000000000
1998-05,14.3631578947368421
1998-06,12.2063636363636364
1998-07,12.0795652173913043
1998-08,11.9140000000000000
1998-09,13.3436363636363636
1998-10,12.7022727272727273
1998-11,11.0390476190476190
1998-12,9.8242857142857143
1999-01,11.1145000000000000
1999-02,10.2715789473684211
1999-03,12.5113043478260870
1999-04,15.2945000000000000
1999-05,15.2252631578947368
1999-06,15.8631818181818182
1999-07,19.0800000000000000
1999-08,20.2190476190476190
1999-09,22.5431818181818182
1999-10,22.0023809523809524
1999-11,24.5840909090909091
1999-12,25.4731578947368421
2000-01,25.5110000000000000
2000-02,27.7757142857142857
2000-03,27.4860869565217391
2000-04,22.7644444444444444
2000-05,27.7376190476190476
2000-06,29.7954545454545455
2000-07,28.6823809523809524
2000-08,30.1960869565217391
2000-09,33.1447619047619048
2000-10,30.9609090909090909
2000-11,32.5522727272727273
2000-12,25.6600000000000000
2001-01,25.6245454545454545
2001-02,27.5035000000000000
2001-03,24.4972727272727273
2001-04,25.6571428571428571
2001-05,28.3136363636363636
2001-06,27.8490476190476190
2001-07,24.6136363636363636
2001-08,25.6800000000000000
2001-09,25.6195000000000000
2001-10,20.5378260869565217
2001-11,18.7972727272727273
2001-12,18.7052631578947368
2002-01,19.4168181818181818
2002-02,20.2755000000000000
2002-03,23.6966666666666667
2002-04,25.7286363636363636
