"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Arab World","ARB","","","","","","","","","","","21.9579322090316","20.6759922037808","21.1382029127541","23.9034994072677","24.7784618177225","31.8626697296428","31.9091361710294","36.3509515686024","38.5241857420585","35.9149000806388","34.2740160545559","40.0300388316351","43.1084553167554","40.645926153496","39.2248224905248","35.0104905655156","32.6786202068159","31.2376544492238","32.6571035619718","36.1625812552932","33.5875560334394","40.1333291023646","33.7749194571118","31.9900016201124","29.2942753358616","30.6203209175497","29.2517151356603","31.158621063956","33.4723607734137","30.1713498089678","28.2514694703355","31.5870037435811","32.1423372122374","34.3814341755377","36.156801457883","36.4312570383903","35.886446378215","39.7259686561298","40.8785181792344","42.2964760082166","39.4873857687968","38.2479013831389","39.1747595587786","38.8710024008253","39.8385160409193","43.2291189413301","",
"Caribbean small states","CSS","54.0054901821866","54.4231238408599","53.5410416247385","51.6312628345093","57.1648236112953","59.1012531594514","39.8009570738406","38.2670151145645","39.1449741854873","42.934582348488","42.5108070531951","46.8263802598588","46.250105537766","42.741847828941","42.6440431460461","44.1262731902527","44.4468312518822","44.6314590097736","47.1950723126905","51.6784297327854","54.9185447189105","54.1919360660299","52.9368133993817","49.3884173206933","49.4008794540779","48.0684619403877","46.5507815163142","44.8882585797894","43.3483920623339","47.2683323324537","45.5105920886035","48.9857748436518","48.6781644178333","46.5021513509694","45.7271992950651","51.0446289945023","50.0631385424713","55.2663648166608","56.1240734499051","49.4916711912241","49.9587249617479","50.2991994665317","47.8800917684208","46.754738243031","48.1914962839661","50.4234282916046","50.496569999602","50.4098056385776","53.2580610742535","46.6158711453532","44.0467863437591","50.157499748395","49.5570542164062","48.409160377553","48.3217788223211","47.5184719096119","",
"Central Europe and the Baltics","CEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0161950542018","27.9177934507563","32.2849125351225","30.128411788447","29.2147362232525","34.4412211069691","36.7664310777139","39.3775937675045","39.596913646703","39.5891960349309","44.2642579431322","44.2496587776675","43.5795452050587","45.5497874471372","49.0071450360192","49.9522739361286","54.3425865708232","55.7152798571921","55.2566347010129","47.4095719832681","53.098887359961","57.3441996520588","58.5345323897187","58.191418280822","59.8190297919603","60.1005572815213","",
"Early-demographic dividend","EAR","12.960965651958","12.7671249656632","11.4113861727473","11.837483815079","12.1425816860405","11.9873125426427","13.4751744652313","13.3144613109653","14.1359701007959","14.0182156790775","14.2331363444281","14.2522016995636","14.3692883573405","15.1073976682148","17.200964348194","19.2361861413856","18.725489021745","19.3015540399816","19.8225102338005","19.5306407717809","20.5398036992818","21.1449034654431","20.4751903823451","20.0780782895378","19.4666619911956","18.6481832512097","17.8993365292304","18.495381169039","19.8903754830183","20.5041517340855","20.895554016398","21.8378357163136","22.3134011749784","21.4087443402893","20.9781319160025","22.6202681512529","23.2880727730321","24.0456209572439","24.5555545343098","22.4705804368055","23.7255231670753","23.4778722007425","24.1235367648662","24.1949756883262","26.4594615110848","27.3087422044414","28.1038951764152","28.8702247026125","30.4193419253291","27.1974064580369","27.6474181236666","29.2539262271714","29.6718555719781","29.0448540867092","28.6587126570428","28.2975836745908","",
"East Asia & Pacific","EAS","11.6851459080994","13.0334720252865","11.7798591850871","12.0038154417353","11.5912980118411","11.6764677595304","12.5739052381542","12.4243508345662","12.8393074153498","12.6309203914018","12.8716087400302","12.7205305885787","12.2141903370417","13.9996029282742","17.9864980451074","16.5455518951879","16.1325007267273","15.6964427496097","15.6776224205634","18.0334372630184","19.8454712189354","20.0064586290468","19.7526708730075","18.8705164048088","18.8141924707858","19.0502004776293","17.201416408731","18.1879142776331","20.1515804373112","19.8415905506726","19.543571733412","19.4852694523612","20.1444465137175","21.6365848428576","21.414778835669","22.4270290287803","22.4430722533054","22.5502804413524","22.2611902766908","22.1360411722753","24.9017003912839","24.3384346971341","24.7948969246536","27.0500529082655","30.0158014655094","30.8583984204889","31.7280736311013","31.3452304698443","32.6497403310633","26.6587963769111","29.3051433493898","31.4013232697122","31.0733875703732","31.0824307112485","31.0303771109263","27.8510131664588","",
"East Asia & Pacific (excluding high income)","EAP","7.41698514165851","6.95446835867675","6.035706151884","5.99799820204021","6.33354033052751","5.89455912479691","7.25281904089435","6.7558435344447","6.62289560730786","5.98144266048985","6.33751990161473","6.03252109647152","6.44066074679142","7.48215553693393","9.80284124230174","9.26399598454906","8.54034185580772","8.40748485029345","9.28501414957338","10.5879814585285","11.3221719802952","12.4747810509654","13.2746084241013","13.3495313825091","13.3003061962208","15.3584571816226","14.3249632210424","15.6963580530052","18.7946856369995","17.8046901138502","16.6615030906533","17.5669684657474","19.7253176047077","23.639756970639","22.675593852495","22.7253055006516","22.243874963106","22.199486760665","22.3984767459781","22.1177879525041","25.5432130742322","25.087252079116","26.208493598788","29.5635227749731","33.3206705219993","33.540812702301","32.9916334565264","31.3449650558577","30.1379729794758","24.5917902550029","27.0732709657356","28.6824917868188","27.5594420770807","26.9126708934579","26.3746200822159","23.5751370431395","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","7.41698514165851","6.95446835867675","6.035706151884","5.99799820204021","6.33354033052751","5.89455912479691","7.25281904089435","6.7558435344447","6.62289560730786","5.98144266048985","6.33751990161473","6.03252109647152","6.44066074679142","7.48215553693393","9.80284124230174","9.26399598454906","8.54034185580772","8.40748485029345","9.28501414957338","10.5879814585285","11.3221719802952","12.4747810509654","13.2746084241013","13.3495313825091","13.3003061962208","15.3584571816226","14.3249632210424","15.6963580530052","18.7946856369995","17.8046901138502","16.6615030906533","17.5669684657474","19.7253176047078","23.639756970639","22.675593852495","22.7253055006516","22.243874963106","22.199486760665","22.3984767459781","22.1177879525041","25.5432130742322","25.087252079116","26.2065039338429","29.5616237575782","33.3188043844826","33.5386763568312","32.9893449777129","31.3428395377761","30.1354683611621","24.590404726576","27.0716744788272","28.6808338021006","27.5576976747195","26.9108995827416","26.3726920412435","23.5731976783991","",
"Euro area","EMU","18.1596883527336","18.4522721076485","18.5775881372296","19.3449341165769","19.4809348048666","19.2565660189008","19.7533153943023","19.1192261879394","19.4885847015626","20.7271775376077","19.8095858157667","19.5037766627089","19.4956050614866","20.8011069125687","24.7940134753628","22.4424727337862","24.1549408544595","23.9368990204413","22.8839412364744","24.7927228464795","26.9140032455819","27.873786896663","27.5191080968775","26.9220486516626","28.1079146388917","28.2663738717839","24.4638445449548","24.5197765299899","25.1796158342486","26.7435661613223","26.3134398933022","26.3437677629183","25.7926812047857","24.2586999469469","25.4409812607106","27.0416247790973","27.2566973578074","29.0452577949467","29.8474413300196","30.5313789037361","34.6461216348002","33.9253454027369","32.2214662324985","31.7321354346551","33.0723885497822","34.8936740572119","37.1712131874538","37.8964940955898","38.7363651710574","33.3429127744372","37.4749817638253","40.2008947723213","40.5412227182773","40.040045272161","40.4006634708879","40.5305320174585","",
"Europe & Central Asia","ECS","19.5439449480716","19.6120249291613","19.6006598561709","20.0196125211956","20.2016714776487","19.8250667019227","20.0429872272444","19.6666993362138","20.2286387905633","21.0661214384047","20.0464158071361","19.7808806883146","19.6831397739415","21.4364496767863","25.86207055382","23.2725127397032","24.9338090087062","24.7017082976043","23.1837694466386","24.7695814030468","26.8725834019406","27.3668808108776","27.2400793117398","26.9901919278963","28.4114170744856","28.504356772727","25.2842343840015","25.2548543130311","25.7529841502939","26.753332704796","25.9404551690794","25.2014211474048","27.81364133658","25.8449072613382","26.3643559258605","27.8286118125625","27.9880068466683","29.5202298724713","29.9087625840708","30.464897954319","33.7559239226486","33.269963559724","31.9957319192319","31.7088805440591","32.8115775145885","34.1237701250711","36.125469726461","36.6585785511115","37.6280844597453","33.0714173332339","36.4767762140913","38.8947702220034","39.1291004413511","38.8010282363616","38.7102405351389","38.6666844455943","",
"Europe & Central Asia (excluding high income)","ECA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4415277510854","21.0142753270106","17.3750703342884","40.0823331993478","30.8801425360974","27.7850228006095","30.038558864462","28.955832716545","29.8989814856105","28.0284920845837","28.8580154635288","29.9128973804437","30.2523395977955","30.3210138456128","30.7560992161967","31.1138020487215","29.6450021890886","29.8346464422721","30.3809594522684","30.7423345065764","27.1836642675573","28.4795514015035","30.4148789667261","30.5934027770171","30.1267431183482","29.7811553040338","29.425726695875","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4415277510854","20.7624136182985","18.2071564468171","37.1580041703274","29.2657767518053","26.5658012318855","28.8378614592652","28.3220359549813","29.7613008969897","28.5440643795869","29.1377913422033","30.5917463063991","30.5445325489087","30.8459742676215","31.7683155220368","32.1807538010191","30.7630005562017","31.5322368582309","32.2930346645332","32.7136186386027","28.891356405714","30.541877337287","32.564819124069","32.7702968788276","32.3443851121054","32.331632436112","32.1318886530673","",
"European Union","EUU","19.4708329554763","19.2981944107573","19.2606330094234","19.8057989599807","20.1082742997632","19.7356725878207","19.9600883753575","19.5569937697176","20.2363227615933","21.1403335462911","20.2063601787085","19.8328451573413","19.8011179975991","21.5626734572665","26.0888056392053","23.3292184201994","25.0725483640306","24.8493527395445","23.5721899059243","25.2957554160092","26.6435314376209","27.2352019125356","27.1227563789754","26.8164123650888","28.1750144259711","28.2411056885459","24.8518248020555","24.839270634918","25.3678487764326","26.8000501841407","26.0592862289237","25.8111287082914","25.6154223868005","24.6601422914764","25.7560050180278","27.2282116113038","27.5617124835886","29.0687153808054","29.7297663269338","30.3888021905462","34.1845189720329","33.60828725184","32.1811390335506","31.8126532002049","33.0734348465496","34.7700437257659","37.1364717810795","37.5868977053784","38.6314754563058","33.6938765968128","37.5131466064962","40.0469750008229","40.3478372833012","39.8685229143473","40.0330923244427","40.0381083490917","",
"Fragile and conflict affected situations","FCS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9443221817687","24.8829823421052","23.9247954790057","23.8308192844159","24.2621350941048","24.2365053423871","24.8295445474676","34.0494149186144","37.160338778989","36.8665187051827","29.7551107163052","33.3449954960548","34.9789316626539","42.0216589295506","41.9616777559926","41.0811212901902","35.8683276838214","33.8516143516399","34.1893008717038","36.1313005841071","35.3555038871809","33.790920191914","34.7124045212264","32.0386067428584","31.5036703159508","31.5769605546689","",
"Heavily indebted poor countries (HIPC)","HPC","21.8948358671048","22.180879766475","21.0289126827","23.4821515615692","23.3638879373478","23.3407967664532","23.547716153723","22.420750851674","23.105255312383","22.4999818274845","23.6183828491485","23.9365588240539","23.1016170166864","23.9305838373713","28.1958576352639","27.8890993144233","26.9529464807374","26.6212884182356","26.2784442488021","27.7678741064492","30.1553693742618","29.9904812497219","27.7921809495591","26.464198845923","26.1885596377681","25.8180944111734","23.8976145705562","25.1769789776581","24.9806272956386","25.3934953747491","25.9885173820875","26.414415701509","27.8889202737301","27.6577917003514","31.423614277911","30.943241531526","30.7872612830216","30.0566026022257","31.0570712173085","30.9748563439713","32.1019545260415","32.3318211193468","34.9782850330223","36.6626962778157","37.9873893746375","39.2426001355403","37.3242755890158","38.4197669190305","39.1135433860582","34.7597482996322","37.4451475873958","38.821145875179","39.9086070876644","39.6823214916678","39.0319572491793","37.9855855068003","",
"High income","HIC","13.0501020855501","13.5398586525108","13.2522440358996","13.4832118899329","13.3918343940219","13.5369501813508","13.8430429169674","13.839784963094","14.553276862938","14.9779625240557","14.9828499770644","14.8416948788374","14.7494273739916","16.2555619501249","19.7357326323645","18.1374976148479","19.0454771876668","19.1919150111892","18.7913511372334","20.2169954661817","21.7303816975508","21.7054469304377","21.0674331220878","20.6689744723236","21.6157288465328","21.1947135666289","19.5059525332139","19.7481533929669","20.1341529141195","20.7598369871298","20.6357104602221","20.4572519875342","20.0390068787048","19.7051810572285","20.4605187114953","21.6421790998502","21.8904852056141","22.812972473008","23.0962553894657","23.4247303458712","25.7974117088999","25.0644836872049","24.4020470254492","24.5643690944102","25.9677600820603","27.231668751079","28.8485953311203","29.4259491027451","30.8881662062322","26.4059784407658","29.1190222725885","31.145371205242","31.2574083934537","31.0440137234825","31.1233070321352","30.258831077226","",
"IBRD only","IBD","9.78504306821424","9.39824940923183","8.19604234354154","8.73849506316822","8.41416218543984","8.20152726913811","9.00182276597523","8.63220060287474","8.68475290122319","8.34747111311702","8.91182517213247","8.98509198182811","9.18752128490483","9.97640947632966","12.7764997529202","12.9757901553651","11.99526261616","11.9978752425578","12.0166362497299","12.7731963212119","14.3071055091559","15.138075345809","14.7160428831383","13.8771136137011","13.900414978065","14.8066626768321","13.9257056290441","14.6438146547335","16.8977190557827","17.0373346349044","16.786265162662","17.0162182113056","21.7133333235782","21.3945020099776","20.5565248598761","21.269126375634","21.2386285059512","21.9334712127158","22.1691919679223","22.155477922811","23.9519195817682","24.0949001909619","24.6302096611377","26.4718321505373","28.602165678365","28.5572299772687","28.5276686448798","28.1998717282188","28.7658245222215","24.7025241342458","26.1044678691722","27.6277510702963","27.4902391384084","26.8546752259043","26.4196131189635","25.0103428712341","",
"IDA & IBRD total","IBT","10.3202711479161","9.93632317346306","8.72712903536428","9.28427342593683","9.01214650322107","8.82243684826923","9.57972165793839","9.32578399449969","9.32656976097369","8.99361585099941","9.51315758832451","9.60328027892084","9.79553784486883","10.5874857983189","13.4117493788416","13.7147134072566","12.8101697115079","12.76824779672","12.8224114337169","13.5645119149563","15.1586091005625","15.9787666118196","15.3956043066189","14.4648294075519","14.3682808488589","15.2239740308855","14.3813863827494","15.1159116828811","17.2031628649875","17.496980250067","17.4197355861012","17.6296028035337","22.0928519368799","21.8563316704366","21.0766997697052","21.8808675691252","21.9274851584612","22.647009225797","22.8472205710307","22.6412522335322","24.2833127003396","24.6237898061936","25.0898466877017","26.9555924009082","28.8216867932925","28.8663106955669","28.8903320732158","28.8022511543913","29.3134537827837","25.3236209548494","26.5442296950997","28.1565106046603","27.9604920126268","27.3725985113469","26.9236982216521","25.5727356782486","",
"IDA blend","IDB","","","","","","","","19.593217123145","18.0341842843818","17.6630175615694","16.6153924898509","16.941863479212","17.102892162307","18.2770756194691","20.5259460756066","25.3289579702453","24.3348344646321","23.7123599375814","24.8630830480308","24.8196710131387","26.438585264478","29.1420010118885","26.0679404097375","22.1985681234105","19.5539703638409","20.3224972114288","19.9538362307704","20.2894185674347","19.5984254458709","24.1841648515175","27.8376423245426","27.0158667152229","28.1396798366689","28.3272602255364","26.425760149324","29.361361714688","31.7900884503093","34.7309237215265","34.3172529317507","28.8079987534999","28.6457155967112","34.4796379773572","32.268674684131","36.0891994752478","30.6395156784551","31.5754613471497","33.8364430946783","39.0141907110469","38.4578805737437","36.0009279202257","32.3775722613121","35.5039562883433","31.5661390186812","31.9095162228276","31.4731890566221","30.7826569981841","",
"IDA only","IDX","","","","","","20.0975112062358","20.6556799234934","19.3128571109314","19.3653520922789","19.1974624234353","20.1180937979641","20.6945259827664","20.6085553938803","21.10138514318","25.241695521279","23.8919353976856","25.4211346901715","24.6017144549124","24.5733437594538","","29.1111723993296","27.4918713706986","24.7103880657721","24.0966263849914","22.9621621874289","22.4606985701206","21.0406726028564","22.7876990738921","23.2909777417027","24.2397246088123","24.6226478759152","25.3867944967746","26.6802841671215","28.3409820338868","30.2968955754883","31.367894773396","31.1117865958817","30.0878608071105","29.9183991868437","29.9666334953781","28.7194655905575","28.7502913700608","29.996156296108","30.5419858510743","32.7750708786662","34.3167093327736","33.5010136906531","34.5066062983874","35.0181592962226","31.4725434707891","32.709140016666","34.8798614789608","36.8354656757541","36.5518108723223","35.7349096047031","34.6831369801051","",
"IDA total","IDA","","","","","","","","19.4533555312007","18.6982563369099","18.4284972725911","18.3642503037518","18.7961751401328","18.8354844642967","19.6729247401565","22.8565952703433","24.6232597908343","24.8682986607382","24.1483268618096","24.7210511091274","25.3992689190789","27.7469281834605","28.3379477377708","25.4079832642778","23.1215595316713","21.221112823131","21.3684143593181","20.4376896784228","21.4004709720434","21.2502002325066","24.2090181775909","26.3497273968947","26.2582077339706","27.4598526700589","28.333712415553","28.2753087027973","30.3153682597604","31.4675896976222","32.521562614293","32.2240966339476","29.359325018808","28.6822135923054","31.6442524223885","31.1322008082608","33.3150686250992","31.707495021685","32.9549402344061","33.6669206103715","36.7361050730947","36.7791455373951","33.790877448112","32.5393918864874","35.1916907518403","34.1992285264495","34.2309945972632","33.6069354306243","32.7322930182285","",
