dato,kpi
1920-03,5.1
1920-04,5.2
1920-05,5.3
1920-06,5.4
1920-07,5.5
1920-08,5.6
1920-09,5.8
1920-10,5.9
1920-11,5.9
1920-12,5.9
1921-01,5.7
1921-02,5.4
1921-03,5.2
1921-04,5.3
1921-05,5.1
1921-06,5.1
1921-07,5.1
1921-08,5.1
1921-09,5.0
1921-10,5.0
1921-11,4.9
1921-12,4.7
1922-01,4.6
1922-02,4.5
1922-03,4.4
1922-04,4.4
1922-05,4.3
1922-06,4.2
1922-07,4.2
1922-08,4.2
1922-09,4.2
1922-10,4.1
1922-11,4.1
1922-12,4.0
1923-01,4.0
1923-02,4.0
1923-03,4.0
1923-04,4.0
1923-05,4.0
1923-06,4.0
1923-07,4.0
1923-08,4.1
1923-09,4.0
1923-10,4.0
1923-11,4.1
1923-12,4.1
1924-01,4.1
1924-02,4.2
1924-03,4.3
1924-04,4.3
1924-05,4.3
1924-06,4.4
1924-07,4.4
1924-08,4.5
1924-09,4.6
1924-10,4.6
1924-11,4.6
1924-12,4.7
1925-01,4.7
1925-02,4.8
1925-03,4.8
1925-04,4.7
1925-05,4.6
1925-06,4.6
1925-07,4.6
1925-08,4.5
1925-09,4.4
1925-10,4.2
1925-11,4.1
1925-12,4.1
1926-01,4.0
1926-02,4.0
1926-03,3.9
1926-04,3.9
1926-05,3.8
1926-06,3.8
1926-07,3.8
1926-08,3.8
1926-09,3.7
1926-10,3.7
1926-11,3.7
1926-12,3.6
1927-01,3.6
1927-02,3.6
1927-03,3.5
1927-04,3.4
1927-05,3.4
1927-06,3.4
1927-07,3.5
1927-08,3.4
1927-09,3.4
1927-10,3.4
1927-11,3.4
1927-12,3.4
1928-01,3.3
1928-02,3.3
1928-03,3.2
1928-04,3.2
1928-05,3.2
1928-06,3.2
1928-07,3.3
1928-08,3.2
1928-09,3.1
1928-10,3.1
1928-11,3.1
1928-12,3.1
1929-01,3.1
1929-02,3.1
1929-03,3.1
1929-04,3.1
1929-05,3.1
1929-06,3.1
1929-07,3.1
1929-08,3.1
1929-09,3.1
1929-10,3.1
1929-11,3.1
1929-12,3.1
1930-01,3.0
1930-02,3.0
1930-03,3.0
1930-04,3.0
1930-05,3.0
1930-06,3.0
1930-07,3.0
1930-08,3.0
1930-09,3.0
1930-10,2.9
1930-11,2.9
1930-12,2.9
1931-01,2.9
1931-02,2.9
1931-03,2.9
1931-04,2.9
1931-05,2.8
1931-06,2.8
1931-07,2.8
1931-08,2.8
1931-09,2.8
1931-10,2.8
1931-11,2.8
1931-12,2.8
1932-01,2.8
1932-02,2.8
1932-03,2.8
1932-04,2.8
1932-05,2.8
1932-06,2.8
1932-07,2.8
1932-08,2.8
1932-09,2.8
1932-10,2.8
1932-11,2.8
1932-12,2.8
1933-01,2.7
1933-02,2.7
1933-03,2.7
1933-04,2.7
1933-05,2.7
1933-06,2.7
1933-07,2.7
1933-08,2.8
1933-09,2.7
1933-10,2.7
1933-11,2.7
1933-12,2.7
1934-01,2.7
1934-02,2.7
1934-03,2.7
1934-04,2.7
1934-05,2.7
1934-06,2.7
1934-07,2.8
1934-08,2.8
1934-09,2.8
1934-10,2.8
1934-11,2.8
1934-12,2.8
1935-01,2.8
1935-02,2.8
1935-03,2.8
1935-04,2.8
1935-05,2.8
1935-06,2.8
1935-07,2.8
1935-08,2.8
1935-09,2.8
1935-10,2.8
1935-11,2.9
1935-12,2.9
1936-01,2.9
1936-02,2.9
1936-03,2.9
1936-04,2.9
1936-05,2.9
1936-06,2.9
1936-07,2.9
1936-08,2.9
1936-09,2.9
1936-10,2.9
1936-11,2.9
1936-12,2.9
1937-01,2.9
1937-02,2.9
1937-03,3.0
1937-04,3.0
1937-05,3.0
1937-06,3.1
1937-07,3.1
1937-08,3.1
1937-09,3.1
1937-10,3.2
1937-11,3.2
1937-12,3.2
1938-01,3.2
1938-02,3.2
1938-03,3.2
1938-04,3.2
1938-05,3.2
1938-06,3.2
1938-07,3.2
1938-08,3.2
1938-09,3.1
1938-10,3.1
1938-11,3.1
1938-12,3.1
1939-01,3.1
1939-02,3.1
1939-03,3.1
1939-04,3.2
1939-05,3.2
1939-06,3.2
1939-07,3.2
1939-08,3.2
1939-09,3.2
1939-10,3.3
1939-11,3.4
1939-12,3.4
1940-01,3.4
1940-02,3.4
1940-03,3.6
1940-04,3.6
1940-05,3.6
1940-06,3.6
1940-07,3.7
1940-08,3.7
1940-09,4.0
1940-10,4.0
1940-11,4.0
1940-12,4.1
1941-01,4.2
1941-02,4.2
1941-03,4.3
1941-04,4.3
1941-05,4.4
1941-06,4.4
1941-07,4.4
1941-08,4.5
1941-09,4.5
1941-10,4.5
1941-11,4.5
1941-12,4.6
1942-01,4.6
1942-02,4.6
1942-03,4.6
1942-04,4.6
1942-05,4.6
1942-06,4.7
1942-07,4.7
1942-08,4.7
1942-09,4.7
1942-10,4.7
1942-11,4.7
1942-12,4.7
1943-01,4.7
1943-02,4.8
1943-03,4.8
1943-04,4.8
1943-05,4.8
1943-06,4.8
1943-07,4.8
1943-08,4.8
1943-09,4.8
1943-10,4.8
1943-11,4.8
1943-12,4.8
1944-01,4.8
1944-02,4.8
1944-03,4.8
1944-04,4.9
1944-05,4.9
1944-06,4.9
1944-07,4.9
1944-08,4.9
1944-09,4.9
1944-10,4.9
1944-11,4.9
1944-12,4.9
1945-01,4.9
1945-02,4.9
1945-03,4.9
1945-04,4.9
1945-05,4.9
1945-06,4.9
1945-07,4.9
1945-08,5.0
1945-09,5.0
1945-10,4.9
1945-11,4.9
1945-12,5.0
1946-01,5.0
1946-02,5.0
1946-03,5.0
1946-04,5.0
1946-05,5.0
1946-06,5.0
1946-07,5.1
1946-08,5.1
1946-09,5.1
1946-10,5.1
1946-11,5.1
1946-12,5.1
1947-01,5.1
1947-02,5.1
1947-03,5.1
1947-04,5.1
1947-05,5.1
1947-06,5.1
1947-07,5.1
1947-08,5.1
1947-09,5.0
1947-10,5.0
1947-11,5.0
1947-12,5.0
1948-01,5.0
1948-02,5.1
1948-03,5.1
1948-04,5.1
1948-05,5.1
1948-06,5.1
1948-07,5.1
1948-08,5.0
1948-09,5.0
1948-10,5.0
1948-11,5.0
1948-12,5.0
1949-01,5.0
1949-02,5.0
1949-03,5.0
1949-04,5.0
1949-05,5.1
1949-06,5.1
1949-07,5.1
1949-08,5.1
1949-09,5.1
1949-10,5.1
1949-11,5.1
1949-12,5.1
1950-01,5.1
1950-02,5.1
1950-03,5.1
1950-04,5.2
1950-05,5.3
1950-06,5.3
1950-07,5.3
1950-08,5.3
1950-09,5.4
1950-10,5.5
1950-11,5.6
1950-12,5.6
1951-01,5.7
1951-02,5.7
1951-03,5.8
1951-04,6.1
1951-05,6.1
1951-06,6.3
1951-07,6.3
1951-08,6.3
1951-09,6.4
1951-10,6.3
1951-11,6.4
1951-12,6.4
1952-01,6.5
1952-02,6.6
1952-03,6.6
1952-04,6.6
1952-05,6.6
1952-06,6.7
1952-07,6.8
1952-08,6.8
1952-09,6.9
1952-10,6.9
1952-11,6.9
1952-12,6.8
1953-01,6.8
1953-02,6.8
1953-03,6.8
1953-04,6.8
1953-05,6.8
1953-06,6.9
1953-07,6.9
1953-08,6.9
1953-09,6.9
1953-10,6.9
1953-11,6.9
1953-12,6.9
1954-01,6.9
1954-02,6.9
1954-03,7.0
1954-04,7.0
1954-05,7.1
1954-06,7.1
1954-07,7.3
1954-08,7.3
1954-09,7.3
1954-10,7.2
1954-11,7.2
1954-12,7.2
1955-01,7.2
1955-02,7.2
1955-03,7.2
1955-04,7.2
1955-05,7.2
1955-06,7.2
1955-07,7.2
1955-08,7.2
1955-09,7.2
1955-10,7.2
1955-11,7.2
1955-12,7.2
1956-01,7.2
1956-02,7.3
1956-03,7.3
1956-04,7.4
1956-05,7.6
1956-06,7.6
1956-07,7.7
1956-08,7.6
1956-09,7.5
1956-10,7.5
1956-11,7.5
1956-12,7.6
1957-01,7.6
1957-02,7.6
1957-03,7.7
1957-04,7.7
1957-05,7.7
1957-06,7.7
1957-07,7.7
1957-08,7.7
1957-09,7.7
1957-10,7.7
1957-11,7.7
1957-12,7.7
1958-01,7.8
1958-02,7.8
1958-03,7.9
1958-04,8.0
1958-05,8.1
1958-06,8.1
1958-07,8.2
1958-08,8.2
1958-09,8.3
1958-10,8.2
1958-11,8.2
1958-12,8.2
1959-01,8.3
1959-02,8.3
1959-03,8.2
1959-04,8.2
1959-05,8.2
1959-06,8.2
1959-07,8.3
1959-08,8.3
1959-09,8.3
1959-10,8.3
1959-11,8.3
1959-12,8.3
1960-01,8.3
1960-02,8.3
1960-03,8.3
1960-04,8.3
1960-05,8.3
1960-06,8.3
1960-07,8.3
1960-08,8.3
1960-09,8.3
1960-10,8.3
1960-11,8.3
1960-12,8.3
1961-01,8.3
1961-02,8.3
1961-03,8.4
1961-04,8.4
1961-05,8.4
1961-06,8.4
1961-07,8.4
1961-08,8.5
1961-09,8.6
1961-10,8.7
1961-11,8.7
1961-12,8.7
1962-01,8.7
1962-02,8.7
1962-03,8.8
1962-04,8.9
1962-05,8.9
1962-06,8.9
1962-07,9.0
1962-08,9.0
1962-09,9.1
1962-10,9.0
1962-11,9.0
1962-12,9.1
1963-01,9.1
1963-02,9.2
1963-03,9.2
1963-04,9.2
1963-05,9.1
1963-06,9.1
1963-07,9.2
1963-08,9.1
1963-09,9.1
1963-10,9.1
1963-11,9.2
1963-12,9.2
1964-01,9.4
1964-02,9.5
1964-03,9.5
1964-04,9.6
1964-05,9.6
1964-06,9.6
1964-07,9.7
1964-08,9.8
1964-09,9.9
1964-10,9.8
1964-11,9.9
1964-12,9.9
1965-01,9.9
1965-02,9.9
1965-03,10.1
1965-04,10.1
1965-05,10.1
1965-06,10.1
1965-07,10.2
1965-08,10.1
1965-09,10.2
1965-10,10.1
1965-11,10.2
1965-12,10.2
1966-01,10.2
1966-02,10.2
1966-03,10.3
1966-04,10.3
1966-05,10.3
1966-06,10.3
1966-07,10.5
1966-08,10.5
1966-09,10.5
1966-10,10.6
1966-11,10.6
1966-12,10.6
1967-01,10.7
1967-02,10.7
1967-03,10.7
1967-04,10.7
1967-05,10.8
1967-06,10.9
1967-07,11.0
1967-08,11.0
1967-09,11.0
1967-10,11.0
1967-11,11.0
1967-12,11.1
1968-01,11.1
1968-02,11.1
1968-03,11.2
1968-04,11.2
1968-05,11.2
1968-06,11.2
1968-07,11.3
1968-08,11.3
1968-09,11.3
1968-10,11.4
1968-11,11.4
1968-12,11.4
1969-01,11.4
1969-02,11.5
1969-03,11.5
1969-04,11.5
1969-05,11.5
1969-06,11.6
1969-07,11.7
1969-08,11.6
1969-09,11.7
1969-10,11.7
1969-11,11.7
1969-12,11.8
1970-01,12.4
1970-02,12.5
1970-03,12.6
1970-04,12.6
1970-05,12.7
1970-06,12.7
1970-07,12.9
1970-08,12.9
1970-09,13.0
1970-10,13.1
1970-11,13.2
1970-12,13.3
1971-01,13.4
1971-02,13.4
1971-03,13.5
1971-04,13.5
1971-05,13.5
1971-06,13.6
1971-07,13.7
1971-08,13.7
1971-09,13.7
1971-10,13.9
1971-11,13.9
1971-12,14.0
1972-01,14.2
1972-02,14.2
1972-03,14.3
1972-04,14.4
1972-05,14.4
1972-06,14.6
1972-07,14.7
1972-08,14.8
1972-09,14.9
1972-10,14.9
1972-11,15.0
1972-12,15.0
1973-01,15.1
1973-02,15.3
1973-03,15.4
1973-04,15.5
1973-05,15.6
1973-06,15.7
1973-07,15.8
1973-08,15.7
1973-09,15.9
1973-10,16.0
1973-11,16.1
1973-12,16.2
1974-01,16.5
1974-02,16.6
1974-03,16.8
1974-04,17.0
1974-05,16.9
1974-06,17.0
1974-07,17.2
1974-08,17.3
1974-09,17.5
1974-10,17.6
1974-11,17.7
1974-12,17.9
1975-01,18.4
1975-02,18.5
1975-03,18.7
1975-04,18.8
1975-05,18.9
1975-06,19.1
1975-07,19.5
1975-08,19.4
1975-09,19.7
1975-10,19.7
1975-11,19.8
1975-12,19.9
1976-01,20.1
1976-02,20.2
1976-03,20.5
1976-04,20.7
1976-05,20.8
1976-06,21.1
1976-07,21.3
1976-08,21.3
1976-09,21.3
1976-10,21.3
1976-11,21.4
1976-12,21.5
1977-01,21.9
1977-02,22.0
1977-03,22.4
1977-04,22.5
1977-05,22.7
1977-06,22.9
1977-07,23.2
1977-08,23.2
1977-09,23.3
1977-10,23.4
1977-11,23.4
1977-12,23.4
1978-01,23.9
1978-02,24.0
1978-03,24.3
1978-04,24.4
1978-05,24.4
1978-06,24.6
1978-07,24.9
1978-08,24.9
1978-09,25.2
1978-10,25.3
1978-11,25.3
1978-12,25.3
1979-01,25.3
1979-02,25.4
1979-03,25.5
1979-04,25.6
1979-05,25.7
1979-06,25.8
1979-07,26.0
1979-08,26.0
1979-09,26.1
1979-10,26.3
1979-11,26.5
1979-12,26.5
1980-01,26.9
1980-02,27.4
1980-03,27.8
1980-04,28.0
1980-05,28.3
1980-06,28.7
1980-07,29.0
1980-08,29.2
1980-09,29.5
1980-10,29.7
1980-11,29.9
1980-12,30.1
1981-01,31.0
1981-02,31.3
1981-03,31.9
1981-04,32.1
1981-05,32.2
1981-06,32.6
1981-07,33.1
1981-08,33.1
1981-09,33.4
1981-10,33.5
1981-11,33.6
1981-12,33.7
1982-01,34.8
1982-02,35.0
1982-03,35.6
1982-04,35.7
1982-05,35.8
1982-06,36.1
1982-07,36.7
1982-08,36.7
1982-09,37.0
1982-10,37.3
1982-11,37.5
1982-12,37.7
1983-01,38.3
1983-02,38.5
1983-03,38.9
1983-04,39.0
1983-05,39.1
1983-06,39.3
1983-07,39.6
1983-08,39.5
1983-09,39.9
1983-10,40.1
1983-11,40.2
1983-12,40.4
1984-01,40.7
1984-02,40.9
1984-03,41.4
1984-04,41.6
1984-05,41.6
1984-06,41.8
1984-07,42.0
1984-08,42.0
1984-09,42.3
1984-10,42.5
1984-11,42.6
1984-12,42.8
1985-01,43.1
1985-02,43.2
1985-03,43.7
1985-04,43.9
1985-05,44.0
1985-06,44.3
1985-07,44.5
1985-08,44.3
1985-09,44.8
1985-10,44.9
1985-11,45.0
1985-12,45.2
1986-01,45.6
1986-02,45.8
1986-03,46.1
1986-04,46.4
1986-05,46.5
1986-06,47.3
1986-07,47.8
1986-08,47.9
1986-09,48.6
1986-10,48.8
1986-11,49.0
1986-12,49.2
1987-01,49.9
1987-02,50.4
1987-03,50.9
1987-04,51.1
1987-05,51.2
1987-06,51.5
1987-07,51.6
1987-08,51.7
1987-09,52.4
1987-10,52.5
1987-11,52.6
1987-12,52.8
1988-01,53.5
1988-02,53.8
1988-03,54.6
1988-04,54.7
1988-05,54.8
1988-06,55.1
1988-07,55.1
1988-08,55.1
1988-09,55.8
1988-10,55.8
1988-11,55.8
1988-12,55.8
1989-01,56.2
1989-02,56.4
1989-03,56.9
1989-04,57.2
1989-05,57.4
1989-06,57.7
1989-07,57.8
1989-08,57.6
1989-09,58.1
1989-10,58.2
1989-11,58.2
1989-12,58.2
1990-01,58.6
1990-02,58.8
1990-03,59.5
1990-04,59.5
1990-05,59.6
1990-06,59.8
1990-07,59.9
1990-08,59.8
1990-09,60.4
1990-10,60.9
1990-11,60.9
1990-12,60.7
1991-01,61.0
1991-02,61.2
1991-03,61.6
1991-04,61.8
1991-05,61.9
1991-06,62.0
1991-07,62.0
1991-08,62.0
1991-09,62.4
1991-10,62.4
1991-11,62.4
1991-12,62.4
1992-01,62.4
1992-02,62.6
1992-03,63.1
1992-04,63.3
1992-05,63.4
1992-06,63.5
1992-07,63.6
1992-08,63.4
1992-09,63.7
1992-10,63.8
1992-11,63.8
1992-12,63.8
1993-01,64.0
1993-02,64.2
1993-03,64.8
1993-04,64.9
1993-05,64.9
1993-06,65.0
1993-07,64.9
1993-08,64.8
1993-09,65.1
1993-10,65.1
1993-11,65.1
1993-12,65.0
1994-01,64.9
1994-02,65.1
1994-03,65.4
1994-04,65.5
1994-05,65.5
1994-06,65.7
1994-07,65.8
1994-08,65.8
1994-09,66.2
1994-10,66.2
1994-11,66.2
1994-12,66.2
1995-01,66.6
1995-02,66.8
1995-03,67.2
1995-04,67.2
1995-05,67.3
1995-06,67.5
1995-07,67.4
1995-08,67.3
1995-09,67.7
1995-10,67.7
1995-11,67.6
1995-12,67.6
1996-01,67.3
1996-02,67.4
1996-03,67.7
1996-04,67.9
1996-05,68.0
1996-06,68.1
1996-07,68.3
1996-08,68.3
1996-09,68.6
1996-10,68.9
1996-11,68.8
1996-12,68.8
1997-01,69.3
1997-02,69.6
1997-03,69.7
1997-04,69.7
1997-05,69.8
1997-06,70.0
1997-07,69.9
1997-08,69.8
1997-09,70.2
1997-10,70.3
1997-11,70.4
1997-12,70.4
1998-01,70.7
1998-02,71.0
1998-03,71.4
1998-04,71.4
1998-05,71.3
1998-06,71.5
1998-07,71.5
1998-08,71.3
1998-09,71.9
1998-10,71.9
1998-11,72.0
1998-12,72.1
1999-01,72.4
1999-02,72.5
1999-03,73.0
1999-04,73.2
1999-05,73.1
1999-06,73.2
1999-07,73.0
1999-08,72.7
1999-09,73.4
1999-10,73.7
1999-11,74.0
1999-12,74.1
2000-01,74.5
2000-02,74.8
2000-03,74.9
2000-04,75.1
2000-05,75.2
2000-06,75.6
2000-07,75.3
2000-08,75.3
2000-09,76.0
2000-10,76.0
2000-11,76.4
2000-12,76.3
2001-01,76.9
2001-02,77.5
2001-03,77.7
2001-04,78.0
2001-05,78.4
2001-06,78.4
2001-07,77.4
2001-08,77.3
2001-09,77.7
2001-10,77.7
2001-11,77.7
2001-12,77.9
2002-01,78.0
2002-02,78.1
2002-03,78.4
2002-04,78.5
2002-05,78.7
2002-06,78.7
2002-07,78.6
2002-08,78.3
2002-09,78.8
2002-10,79.1
2002-11,79.4
2002-12,80.0
2003-01,81.9
2003-02,82.0
2003-03,81.4
2003-04,80.8
2003-05,80.3
2003-06,80.1
2003-07,79.8
2003-08,80.0
2003-09,80.4
2003-10,80.4
2003-11,80.5
2003-12,80.5
2004-01,80.4
2004-02,80.5
2004-03,80.9
2004-04,81.0
2004-05,81.1
2004-06,81.1
2004-07,81.0
2004-08,80.8
2004-09,81.3
2004-10,81.5
2004-11,81.5
2004-12,81.4
2005-01,81.2
2005-02,81.3
2005-03,81.7
2005-04,82.1
2005-05,82.4
2005-06,82.4
2005-07,82.2
2005-08,82.3
2005-09,82.9
2005-10,83.0
