unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGSS_IE_EIDW,London,Dublin,"[""UK_EGGW_IE_EIDW"" ""UK_EGKK_IE_EIDW"" ""UK_EGLC_IE_EIDW"" ""UK_EGLL_IE_EIDW"" ""UK_EGSS_IE_EIDW""]",4771266,4434746,4006606,3840265,3651996,3706000,3517913,3971314,4330616,4351514,4267847,4365258,4561860,4367873,4380440,4193891,4384429,4340576,4077990,3717134,3344407,3074143,2733096,2358416
PAS,PAS_CRD,UK_EGPH_UK_EGSS,Edinburgh,London,"[""UK_EGPD_UK_EGGW"" ""UK_EGPD_UK_EGKK"" ""UK_EGPD_UK_EGLC"" ""UK_EGPD_UK_EGLL"" ""UK_EGPD_UK_EGSS"" ""UK_EGPH_UK_EGGW"" ""UK_EGPH_UK_EGKK"" ""UK_EGPH_UK_EGLC"" ""UK_EGPH_UK_EGLL"" ""UK_EGPH_UK_EGSS""]",4268034,4510304,4228296,4030901,3908277,3908740,3626937,3869093,4099466,4434077,4512981,4685723,4598700,4458347,4356568,4017626,3958970,3837483,3628687,,,,,
PAS,PAS_CRD,UK_EGSS_UK_EGPH,London,Edinburgh,"[""UK_EGGW_UK_EGPD"" ""UK_EGGW_UK_EGPH"" ""UK_EGKK_UK_EGPD"" ""UK_EGKK_UK_EGPH"" ""UK_EGLC_UK_EGPD"" ""UK_EGLC_UK_EGPH"" ""UK_EGLL_UK_EGPD"" ""UK_EGLL_UK_EGPH"" ""UK_EGSS_UK_EGPD"" ""UK_EGSS_UK_EGPH""]",4191562,4430549,4145774,4024313,3908755,3912736,3632071,3872870,4099326,4439057,4515062,4684705,4599909,4456382,4354883,4003957,3938935,3818867,3623954,,,,,
PAS,PAS_CRD,UK_EGSS_NL_EHAM,London,Amsterdam,"[""UK_EGGW_NL_EHAM"" ""UK_EGKK_NL_EHAM"" ""UK_EGLC_NL_EHAM"" ""UK_EGLL_NL_EHAM"" ""UK_EGSS_NL_EHAM""]",4129869,3771901,3410512,3227203,3113348,3009419,2760985,2875599,3155778,3310809,3316271,3303325,3493937,3490757,3616870,3520508,3628717,3502665,3296099,2993035,2618428,2273273,2164026,2037369
PAS,PAS_CRD,UK_EGLL_AE_OMDB,London,Dubai,"[""UK_EGKK_AE_OMDB"" ""UK_EGLL_AE_OMDB""]",3571974,3318243,3213081,2956571,2580271,2506613,2416312,2314986,2161754,2090645,1876830,1666002,1569623,1365879,1193151,1025413,970817,754950,654335,571569,433677,322118,277026,282273
PAS,PAS_CRD,UK_EGSS_US_KJFK,London,New York,"[""UK_EGKK_US_KJFK"" ""UK_EGLL_US_KJFK"" ""UK_EGSS_US_KJFK""]",3265429,3198625,2972463,3015311,2838673,2678991,2516580,2584601,2917374,3173840,2752033,2939555,2966029,2670541,2513629,2404104,2891308,2786814,2634661,2526618,2423528,2439237,2078259,1810130
PAS,PAS_CRD,UK_EGSS_ES_LEBL,London,Barcelona,"[""UK_EGGW_ES_LEBL"" ""UK_EGKK_ES_LEBL"" ""UK_EGLL_ES_LEBL"" ""UK_EGSS_ES_LEBL""]",2978624,2693456,2433394,2149144,1995198,1626211,1327514,1510099,1742765,1803393,1772577,1747019,1737453,1712862,1698412,1517051,1374966,1143826,990461,878673,691458,525892,501987,504229
PAS,PAS_CRD,UK_EGSS_ES_LEMD,London,Madrid,"[""UK_EGGW_ES_LEMD"" ""UK_EGKK_ES_LEMD"" ""UK_EGLC_ES_LEMD"" ""UK_EGLL_ES_LEMD"" ""UK_EGSS_ES_LEMD""]",2967654,2932068,2582700,2379598,2395797,2496963,2189216,2217123,2046770,2091612,1895765,1737112,1709566,1802610,1653369,1609457,1739889,1447368,1217742,1160138,1062724,950530,910076,874407
PAS,PAS_CRD,UK_EGPK_UK_EGSS,Glasgow,London,"[""UK_EGPF_UK_EGGW"" ""UK_EGPF_UK_EGKK"" ""UK_EGPF_UK_EGLC"" ""UK_EGPF_UK_EGLL"" ""UK_EGPF_UK_EGSS"" ""UK_EGPK_UK_EGSS""]",2608344,2510835,2270793,2246936,2206886,2243190,2378597,2619157,2891615,3136431,3061245,3187362,3388091,3432760,3324660,3157068,2779931,2610833,2501062,,,,,
PAS,PAS_CRD,UK_EGSS_UK_EGPK,London,Glasgow,"[""UK_EGGW_UK_EGPF"" ""UK_EGKK_UK_EGPF"" ""UK_EGLC_UK_EGPF"" ""UK_EGLL_UK_EGPF"" ""UK_EGSS_UK_EGPF"" ""UK_EGSS_UK_EGPK""]",2604740,2506781,2266368,2240915,2202451,2242188,2377160,2618359,2891696,3138557,3062815,3192116,3386257,3454743,3325305,3183221,2798057,2649308,2501881,,,,,
