unit,tra_meas,tra_cov,schedule-time,geo,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
FLIGHT,CAF_PAS,INTL_XEU,SCHED,AT,63568,67633,68733,69858,68801,68962,66419,64832,67744,62207,59121,60939,57118,48742,49526,50128,54646,45948,44851,41002,36659,5229,5202,4635
FLIGHT,CAF_PAS,INTL_XEU,TOT,AT,65298,70974,72629,74593,74050,74597,72695,70662,74353,68685,65565,69449,66623,56307,56972,58150,62523,52386,52491,49962,44588,9539,8249,8960
FLIGHT,CAF_PAS,INTL_XEU27,N_SCHED,AT,1937,3501,4035,4986,5512,5875,6565,6098,7001,6858,6883,9071,10184,8270,8157,8820,8603,6860,8134,9466,8352,4455,3239,4345
FLIGHT,CAF_PAS,INTL_XEU27,SCHED,AT,67723,71736,72849,73876,73007,73258,70609,69123,72390,66742,63228,64925,60464,51019,51964,52136,56571,47921,46781,42480,38114,5230,5202,4713
FLIGHT,CAF_PAS,INTL_XEU27,TOT,AT,69660,75237,76884,78862,78519,79133,77174,75221,79391,73600,70111,73996,70648,59289,60121,60956,65174,54781,54915,51946,46466,9685,8441,9058
FLIGHT,CAF_PAS,NAT,N_SCHED,AT,254,457,417,380,679,668,613,699,926,1045,1123,297,378,194,180,233,228,212,217,259,287,193,199,219
FLIGHT,CAF_PAS,NAT,SCHED,AT,10810,12040,13611,14555,14965,14810,19305,19301,19710,18856,18553,18798,18594,19216,20147,18678,20865,17941,19029,18196,18079,10777,10747,9455
FLIGHT,CAF_PAS,NAT,TOT,AT,11064,12497,14028,14935,15644,15478,19918,20000,20636,19901,19676,19095,18972,19410,20327,18911,21093,18153,19246,18455,18366,10970,10946,9674
FLIGHT,CAF_PAS,TOTAL,N_SCHED,AT,8791,10582,11199,11949,13355,13789,14351,14731,17985,18722,20870,22508,26731,24561,23553,24813,25115,23794,25979,26517,26451,20392,18419,18555
FLIGHT,CAF_PAS,TOTAL,SCHED,AT,251878,253197,255809,253719,265011,272583,274777,272703,297108,282256,259190,258141,246929,219812,208796,207012,214242,193447,187745,179400,177027,30838,26917,26093
FLIGHT,CAF_PAS,TOTAL,TOT,AT,260669,263779,267008,265668,278366,286372,289128,287434,315093,300978,280060,280649,273660,244373,232349,231825,239357,217241,213724,205917,203478,51230,45336,44648
FLIGHT,CAF_PAS,INTL,N_SCHED,BE,26103,18585,18758,19662,22386,26591,25728,27064,30181,35515,32397,22855,20749,20677,19433,20880,22086,20826,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,SCHED,BE,242497,255498,242878,231975,236343,237728,224120,221593,230087,218262,204467,194689,199727,187452,181221,251974,259235,246354,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,TOT,BE,268600,274083,261636,251637,258729,264319,249848,248657,260268,253777,236864,217544,220476,208129,200654,272854,281321,267180,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,BE,19691,11912,10722,11309,15101,17124,15863,16569,18681,24551,21872,11811,11489,12713,12167,12928,13815,14032,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,SCHED,BE,194689,200714,189745,180153,182137,186240,177129,179004,189336,182225,173145,166132,171812,162704,158006,217472,223210,211677,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,TOT,BE,214380,212626,200467,191462,197238,203364,192992,195573,208017,206776,195017,177943,183301,175417,170173,230400,237025,225709,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,BE,19645,11869,10675,11230,14981,16989,15738,16441,18555,24420,21772,11618,11264,12487,11918,12735,13637,14016,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,BE,192339,198563,187926,178524,181065,185266,176087,178229,188451,181499,172305,165453,171356,162320,157615,217003,223136,211677,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,TOT,BE,211984,210432,198601,189754,196046,202255,191825,194670,207006,205919,194077,177071,182620,174807,169533,229738,236773,225693,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,N_SCHED,BE,6412,6673,8036,8353,7285,9467,9865,10495,11500,10964,10525,11044,9260,7964,7266,7952,8271,6794,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,SCHED,BE,47808,54784,53133,51822,54206,51488,46991,42589,40751,36037,31322,28557,27915,24748,23215,34502,36025,34677,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,TOT,BE,54220,61457,61169,60175,61491,60955,56856,53084,52251,47001,41847,39601,37175,32712,30481,42454,44296,41471,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,N_SCHED,BE,6458,6716,8083,8432,7405,9602,9990,10623,11626,11095,10625,11237,9485,8190,7515,8145,8449,6810,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,SCHED,BE,50158,56935,54952,53451,55278,52462,48033,43364,41636,36763,32162,29236,28371,25132,23606,34971,36099,34677,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,TOT,BE,56616,63651,63035,61883,62683,62064,58023,53987,53262,47858,42787,40473,37856,33322,31121,43116,44548,41487,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,N_SCHED,BE,4690,6591,7818,7586,8492,9225,8699,9424,8529,7249,8558,37,57,81,91,28,62,43,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,SCHED,BE,2223,5978,5149,6156,5748,9655,8097,6721,4781,2906,42,35,45,25,11,2725,38,11,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,TOT,BE,6913,12569,12967,13742,14240,18880,16796,16145,13310,10155,8600,72,102,106,102,2753,100,54,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,N_SCHED,BE,30793,25176,26576,27248,30878,35816,34427,36488,38710,42764,40955,22892,20806,20758,19524,20908,22148,20869,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,SCHED,BE,244720,261476,248027,238131,242091,247383,232217,228314,234868,221168,204509,194724,199772,187477,181232,254699,259273,246365,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,TOT,BE,275513,286652,274603,265379,272969,283199,266644,264802,273578,263932,245464,217616,220578,208235,200756,275607,281421,267234,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,N_SCHED,BG,18483,16732,18106,17871,16975,16611,17162,16161,18743,21166,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,SCHED,BG,52062,42017,40097,36195,37640,41525,39327,38215,40571,35339,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,TOT,BG,70545,58749,58203,54066,54615,58136,56489,54376,59314,56505,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,BG,11761,10090,10870,11018,11537,11428,11247,11205,13450,16254,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,SCHED,BG,40098,32174,31010,29205,30270,33601,33568,33267,34880,31364,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,TOT,BG,51859,42264,41880,40223,41807,45029,44815,44472,48330,47618,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,BG,11757,10085,10862,11008,11513,11410,11226,11172,13445,16245,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,BG,40098,32174,31010,29205,30269,33601,33568,33267,34880,31364,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,TOT,BG,51855,42259,41872,40213,41782,45011,44794,44439,48325,47609,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,N_SCHED,BG,6722,6642,7236,6853,5438,5183,5915,4956,5293,4912,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,SCHED,BG,11964,9843,9087,6990,7370,7924,5759,4948,5691,3975,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,TOT,BG,18686,16485,16323,13843,12808,13107,11674,9904,10984,8887,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,N_SCHED,BG,6726,6647,7244,6863,5462,5201,5936,4989,5298,4921,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,SCHED,BG,11964,9843,9087,6990,7371,7924,5759,4948,5691,3975,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,TOT,BG,18690,16490,16331,13853,12833,13125,11695,9937,10989,8896,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,N_SCHED,BG,112,110,113,98,150,160,281,177,242,291,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,SCHED,BG,2310,2381,2397,2695,3191,3410,2623,2931,3139,2682,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,TOT,BG,2422,2491,2510,2793,3341,3570,2904,3108,3381,2973,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,N_SCHED,BG,18595,16842,18219,17969,17125,16771,17443,16338,18985,21457,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,SCHED,BG,54372,44398,42494,38890,40831,44935,41950,41146,43710,38021,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,TOT,BG,72967,61240,60713,56859,57956,61706,59393,57484,62695,59478,:,:,:,:,:,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,N_SCHED,CH,3735,5843,6385,6287,8227,8328,7295,10142,13024,15134,17302,20105,21762,21667,56548,14467,15918,21368,21578,24991,23851,26255,23914,21333
FLIGHT,CAF_PAS,INTL,SCHED,CH,424577,412188,407141,402228,407794,400753,366715,357964,375258,362358,344377,347660,341750,346027,386265,12453,11551,329498,307113,290691,273503,250923,242795,236357
FLIGHT,CAF_PAS,INTL,TOT,CH,428312,418031,413526,408515,416021,409081,374010,368106,388282,377492,361679,367765,363512,367694,442813,26920,27469,350866,328691,315682,297354,277178,266709,257690
FLIGHT,CAF_PAS,NAT,N_SCHED,CH,99,72,93,149,100,69,90,60,66,94,697,919,358,420,68368,540,655,423,357,402,655,535,659,563
FLIGHT,CAF_PAS,NAT,SCHED,CH,13608,13609,12241,10670,10923,11367,11474,11607,11544,12037,12578,13698,12511,18247,24629,365,395,32731,31003,29644,34958,34451,34891,33029
FLIGHT,CAF_PAS,NAT,TOT,CH,13707,13681,12334,10819,11023,11436,11564,11667,11610,12131,13275,14617,12869,18667,92997,905,1050,33154,31360,30046,35613,34986,35550,33592
FLIGHT,CAF_PAS,TOTAL,N_SCHED,CH,3834,5915,6478,6436,8327,8397,7385,10202,13090,15228,17999,21024,22120,22087,124916,15007,16573,21791,21935,25393,24506,26790,24573,21896
FLIGHT,CAF_PAS,TOTAL,SCHED,CH,438185,425797,419382,412898,418717,412120,378189,369571,386802,374395,356955,361358,354261,364274,410894,12818,11946,362229,338116,320335,308461,285374,277686,269386
FLIGHT,CAF_PAS,TOTAL,TOT,CH,442019,431712,425860,419334,427044,420517,385574,379773,399892,389623,374954,382382,376381,386361,535810,27825,28519,384020,360051,345728,332967,312164,302259,291282
FLIGHT,CAF_PAS,INTL,N_SCHED,CY,13687,11861,12423,12759,13058,14769,14336,15385,13444,14315,12294,6028,6053,11426,:,7359,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,SCHED,CY,51117,41693,39980,37113,42807,42917,44228,44827,53001,50875,49168,51242,49194,49043,:,54524,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,TOT,CY,64804,53554,52403,49872,55865,57686,58564,60212,66445,65190,61462,57270,55247,60469,:,61883,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,CY,7314,7789,7276,7702,9191,10762,10277,8041,2566,2849,2630,1796,2077,4123,:,2251,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,SCHED,CY,32014,27393,25805,25373,30194,30694,32308,34033,40231,39258,38380,40071,37369,36106,:,41304,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,TOT,CY,39328,35182,33081,33075,39385,41456,42585,42074,42797,42107,41010,41867,39446,40229,:,43555,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,CY,7270,7751,7237,7669,9151,10724,10242,8011,2533,2816,2605,1779,2064,4105,:,2248,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,CY,32014,27393,25804,25373,30194,30694,32308,34033,40203,39242,38368,40064,37369,36105,:,41278,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,TOT,CY,39284,35144,33041,33042,39345,41418,42550,42044,42736,42058,40973,41843,39433,40210,:,43526,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,N_SCHED,CY,6373,4072,5147,5057,3867,4007,4059,7344,10878,11466,9664,4232,3976,7303,:,5108,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,SCHED,CY,19103,14300,14175,11740,12613,12223,11920,10794,12770,11617,10788,11171,11825,12937,:,13220,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,TOT,CY,25476,18372,19322,16797,16480,16230,15979,18138,23648,23083,20452,15403,15801,20240,:,18328,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,N_SCHED,CY,6417,4110,5186,5090,3907,4045,4094,7374,10911,11499,9689,4249,3989,7321,:,5111,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,SCHED,CY,19103,14300,14176,11740,12613,12223,11920,10794,12798,11633,10800,11178,11825,12938,:,13246,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,TOT,CY,25520,18410,19362,16830,16520,16268,16014,18168,23709,23132,20489,15427,15814,20259,:,18357,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,N_SCHED,CY,19,18,14,15,79,78,91,282,467,459,700,158,80,91,:,59,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,SCHED,CY,47,64,4,8,168,398,1226,1492,1646,1659,1911,2292,2503,2780,:,2292,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,TOT,CY,66,82,18,23,247,476,1317,1774,2113,2118,2611,2450,2583,2871,:,2351,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,N_SCHED,CY,13706,11879,12437,12774,13137,14847,14427,15667,13911,14774,12994,6186,6133,11517,:,7418,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,SCHED,CY,51164,41757,39984,37121,42975,43315,45454,46319,54647,52534,51079,53534,51697,51823,:,56816,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,TOT,CY,64870,53636,52421,49895,56112,58162,59881,61986,68558,67308,64073,59720,57830,63340,:,64234,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,N_SCHED,CZ,15556,17956,19556,19041,21670,21452,21441,21914,24930,24842,21947,21521,21858,18753,11977,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,SCHED,CZ,114171,104518,102273,106478,105995,124001,125363,131337,143253,138483,132060,125814,109232,84456,40903,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,TOT,CZ,129727,122474,121829,125519,127665,145453,146804,153251,168183,163325,154007,147335,131090,103209,52880,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,CZ,11670,11727,11786,11574,13673,13591,13425,13718,15678,16025,14290,14168,14866,13432,8786,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,SCHED,CZ,88245,80541,75945,77696,79057,96005,98584,104050,117478,114361,110583,106687,93079,71462,33841,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU,TOT,CZ,99915,92268,87731,89270,92730,109596,112009,117768,133156,130386,124873,120855,107945,84894,42627,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,CZ,11416,11465,11504,11295,13386,13351,13221,13458,15457,15828,14090,13889,14582,13076,8508,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,CZ,87329,80087,75517,77390,78723,95264,97579,103018,116145,113095,109353,105726,92098,70570,33387,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_IEU27,TOT,CZ,98745,91552,87021,88685,92109,108615,110800,116476,131602,128923,123443,119615,106680,83646,41895,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,N_SCHED,CZ,3886,6229,7770,7467,7997,7861,8016,8196,9252,8817,7657,7353,6992,5321,3191,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,SCHED,CZ,25926,23977,26328,28782,26938,27996,26779,27287,25775,24122,21477,19127,16153,12994,7062,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU,TOT,CZ,29812,30206,34098,36249,34935,35857,34795,35483,35027,32939,29134,26480,23145,18315,10253,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,N_SCHED,CZ,4140,6491,8052,7746,8284,8101,8220,8456,9473,9014,7857,7632,7276,5677,3469,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,SCHED,CZ,26842,24431,26756,29088,27272,28737,27784,28319,27108,25388,22707,20088,17134,13886,7516,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL_XEU27,TOT,CZ,30982,30922,34808,36834,35556,36838,36004,36775,36581,34402,30564,27720,24410,19563,10985,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,N_SCHED,CZ,1791,2021,2092,2041,2794,2649,3086,3271,3135,2361,2137,3224,2773,2660,1763,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,SCHED,CZ,2722,3002,2472,1894,3110,4650,8433,11750,9271,8053,8777,6397,6465,4420,2432,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,TOT,CZ,4513,5023,4564,3935,5904,7299,11519,15021,12406,10414,10914,9621,9238,7080,4195,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,N_SCHED,CZ,17347,19977,21648,21082,24464,24101,24527,25185,28065,27203,24084,24745,24631,21413,13740,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,SCHED,CZ,116893,107520,104745,108372,109105,128651,133796,143087,152524,146536,140837,132211,115697,88876,43335,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,TOT,CZ,134240,127497,126393,129454,133569,152752,158323,168272,180589,173739,164921,156956,140328,110289,57075,:,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,N_SCHED,DE,57958,67893,68250,73359,85698,84404,77280,68858,78183,80231,82398,90442,90179,80167,0,:,:,81270,:,40461,34414,36772,68052,66084
FLIGHT,CAF_PAS,INTL,SCHED,DE,1340243,1293140,1270456,1263139,1281495,1293769,1243429,1248695,1329744,1318380,1258459,1193744,1123183,1025979,0,:,:,41608,:,59290,65683,64338,24484,23017
FLIGHT,CAF_PAS,INTL,TOT,DE,1398201,1361033,1338706,1336498,1367193,1378173,1320709,1317553,1407927,1398611,1340857,1284186,1213362,1106146,0,:,:,122878,:,99751,100097,101110,92536,89101
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,DE,21952,21046,19827,25721,28198,29356,16511,14715,20968,26665,29606,28331,27602,26237,0,:,:,23531,:,22097,18953,17722,49588,47687
FLIGHT,CAF_PAS,INTL_IEU,SCHED,DE,958241,905131,885115,878730,895039,914442,895048,914974,992982,993605,956918,913571,855728,781364,0,:,:,39623,:,55104,57912,55742,18721,15739
FLIGHT,CAF_PAS,INTL_IEU,TOT,DE,980193,926177,904942,904451,923237,943798,911559,929689,1013950,1020270,986524,941902,883330,807601,0,:,:,63154,:,77201,76865,73464,68309,63426
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,DE,21656,20694,19564,24995,27406,28644,15834,14120,20186,25474,27957,26180,25414,24095,0,:,:,22907,:,21445,18618,17490,49411,47559
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,DE,942151,889820,870235,864176,880912,900612,881401,902431,980167,981616,945982,904523,849588,775545,0,:,:,39621,:,55083,57873,55705,18680,15676
FLIGHT,CAF_PAS,INTL_IEU27,TOT,DE,963807,910514,889799,889171,908318,929256,897235,916551,1000353,1007090,973939,930703,875002,799640,0,:,:,62528,:,76528,76491,73195,68091,63235
FLIGHT,CAF_PAS,INTL_XEU,N_SCHED,DE,36006,46847,48423,47638,57500,55048,60769,54143,57215,53566,52792,62111,62577,53930,0,:,:,57739,:,18364,15461,19050,18464,18397
FLIGHT,CAF_PAS,INTL_XEU,SCHED,DE,382002,388009,385341,384409,386456,379327,348381,333721,336762,324775,301541,280173,267455,244615,0,:,:,1985,:,4186,7771,8596,5763,7278
FLIGHT,CAF_PAS,INTL_XEU,TOT,DE,418008,434856,433764,432047,443956,434375,409150,387864,393977,378341,354333,342284,330032,298545,0,:,:,59724,:,22550,23232,27646,24227,25675
FLIGHT,CAF_PAS,INTL_XEU27,N_SCHED,DE,36302,47199,48686,48364,58292,55760,61446,54738,57997,54757,54441,64262,64765,56072,0,:,:,58363,:,19016,15796,19282,18641,18525
FLIGHT,CAF_PAS,INTL_XEU27,SCHED,DE,398092,403320,400221,398963,400583,393157,362028,346264,349577,336764,312477,289221,273595,250434,0,:,:,1987,:,4207,7810,8633,5804,7341
FLIGHT,CAF_PAS,INTL_XEU27,TOT,DE,434394,450519,448907,447327,458875,448917,423474,401002,407574,391521,366918,353483,338360,306506,0,:,:,60350,:,23223,23606,27915,24445,25866
FLIGHT,CAF_PAS,NAT,N_SCHED,DE,11537,11686,17211,81504,87805,88508,13775,12769,16173,14462,15352,18914,18510,16983,0,:,:,35040,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,SCHED,DE,236046,233573,235657,236115,257692,279512,284304,289867,310676,317919,313574,313646,311409,308432,0,:,:,19323,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,TOT,DE,247583,245259,252868,317619,345497,368020,298079,302636,326849,332381,328926,332560,329919,325415,0,:,:,54363,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,N_SCHED,DE,69495,79579,85461,154863,173503,172912,91055,81627,94356,94693,97750,109356,108689,97150,0,:,:,116310,:,40461,34414,36772,68052,66084
FLIGHT,CAF_PAS,TOTAL,SCHED,DE,1576289,1526713,1506113,1499254,1539187,1573281,1527733,1538562,1640420,1636299,1572033,1507390,1434592,1334411,0,:,:,60931,:,59290,65683,64338,24484,23017
FLIGHT,CAF_PAS,TOTAL,TOT,DE,1645784,1606292,1591574,1654117,1712690,1746193,1618788,1620189,1734776,1730992,1669783,1616746,1543281,1431561,0,:,:,177241,:,99751,100097,101110,92536,89101
FLIGHT,CAF_PAS,INTL,N_SCHED,DK,18225,18148,18701,19418,19479,20024,18976,17902,20295,20397,19832,19107,17097,15008,14722,15589,:,:,:,15532,15471,11128,12807,10386
FLIGHT,CAF_PAS,INTL,SCHED,DK,249893,237964,232479,232177,229032,225994,216877,207829,235356,224459,223530,235114,240569,226320,228057,244599,:,:,:,203045,189410,149378,141056,140097
FLIGHT,CAF_PAS,INTL,TOT,DK,268118,256112,251180,251595,248511,246018,235853,225731,255651,244856,243362,254221,257666,241328,242779,260188,:,:,:,218577,204881,160506,153863,150483
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,DK,14292,13034,13250,12879,12933,13558,12493,12475,14753,15256,14530,12788,12286,11759,11718,12371,:,:,:,13111,12670,9154,9233,8719
FLIGHT,CAF_PAS,INTL_IEU,SCHED,DK,187539,176872,169774,171710,169629,168179,164085,157558,173981,169235,169179,181436,184769,172883,174591,192368,:,:,:,159254,147452,117774,107892,107142
FLIGHT,CAF_PAS,INTL_IEU,TOT,DK,201831,189906,183024,184589,182562,181737,176578,170033,188734,184491,183709,194224,197055,184642,186309,204739,:,:,:,172365,160122,126928,117125,115861
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,DK,14175,12999,13210,12853,12898,13516,12464,12415,14673,15151,14406,12664,12247,11743,11675,12345,:,:,:,13090,12670,9133,9218,8703
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,DK,186158,175679,168391,170406,168479,167323,163361,157102,173673,169235,169179,181347,184470,172883,174591,192367,:,:,:,158588,147096,117376,107575,107031
FLIGHT,CAF_PAS,INTL_IEU27,TOT,DK,200333,188678,181601,183259,181377,180839,175825,169517,188346,184386,183585,194011,196717,184626,186266,204712,:,:,:,171678,159766,126509,116793,115734
