unit,tra_meas,tra_cov,schedule-time,geo,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
FLIGHT,CAF_PAS,INTL,N_SCHED,AT,8537,10125,10782,11569,12676,13121,13738,14032,17059,17677,19747,22211,26353,24367,23373,24580,24887,23582,25762,26258,26164,20199,18220,18336
FLIGHT,CAF_PAS,INTL,SCHED,AT,241068,241157,242198,239164,250046,257773,255472,253402,277398,263400,240637,239343,228335,200596,188649,188334,193377,175506,168716,161204,158948,20061,16170,16638
FLIGHT,CAF_PAS,INTL,TOT,AT,249605,251282,252980,250733,262722,270894,269210,267434,294457,281077,260384,261554,254688,224963,212022,212914,218264,199088,194478,187462,185112,40260,34390,34974
FLIGHT,CAF_PAS,INTL_IEU,N_SCHED,AT,6807,6784,6886,6834,7427,7486,7462,8202,10450,11199,13303,13701,16848,16802,15927,16558,17010,17144,18122,17298,18235,15889,15173,14011
FLIGHT,CAF_PAS,INTL_IEU,SCHED,AT,177500,173524,173465,169306,181245,188811,189053,188570,209654,201193,181516,178404,171217,151854,139123,138206,138731,129558,123865,120202,122289,14832,10968,12003
FLIGHT,CAF_PAS,INTL_IEU,TOT,AT,184307,180308,180351,176140,188672,196297,196515,196772,220104,212392,194819,192105,188065,168656,155050,154764,155741,146702,141987,137500,140524,30721,26141,26014
FLIGHT,CAF_PAS,INTL_IEU27,N_SCHED,AT,6600,6624,6747,6583,7164,7246,7173,7934,10058,10819,12864,13140,16169,16097,15216,15760,16284,16722,17628,16792,17812,15744,14981,13991
FLIGHT,CAF_PAS,INTL_IEU27,SCHED,AT,173345,169421,169349,165288,177039,184515,184863,184279,205008,196658,177409,174418,167871,149577,136685,136198,136806,127585,121935,118724,120834,14831,10968,11925
FLIGHT,CAF_PAS,INTL_IEU27,TOT,AT,179945,176045,176096,171871,184203,191761,192036,192213,215066,207477,190273,187558,184040,165674,151901,151958,153090,144307,139563,135516,138646,30575,25949,25916
FLIGHT,CAF_PAS,INTL_XEU,N_SCHED,AT,1730,3341,3896,4735,5249,5635,6276,5830,6609,6478,6444,8510,9505,7565,7446,8022,7877,6438,7640,8960,7929,4310,3047,4325
