date,value,12mms-mill,yoy
2003-11,1584785,18.7,0.5
2003-12,1354331,18.8,1.0
2004-01,1342526,18.9,1.2
2004-02,1478343,19.0,1.6
2004-03,1711437,19.2,3.1
2004-04,1551695,19.3,3.7
2004-05,1658219,19.4,3.7
2004-06,2000968,19.5,4.7
2004-07,1746865,19.6,5.1
2004-08,1769243,19.6,5.6
2004-09,1591839,19.6,4.9
2004-10,1848664,19.6,4.9
2004-11,1499718,19.6,3.9
2004-12,1421902,19.6,3.9
2005-01,1313116,19.6,2.9
2005-02,1523450,19.6,2.2
2005-03,1484329,19.4,0.5
2005-04,1748267,19.6,1.3
2005-05,1922399,19.9,1.9
2005-06,476479,18.3,-6.3
2005-07,735214,17.3,-11.7
2005-08,1959665,17.5,-10.4
2005-09,2035641,18.0,-8.5
2005-10,2001461,18.1,-7.3
2005-11,1785796,18.4,-6.2
2005-12,1593133,18.6,-5.2
2006-01,1587591,18.9,-4.0
2006-02,1646394,19.0,-2.2
2006-03,1962638,19.5,-0.8
2006-04,1737539,19.4,-2.1
2006-05,2118943,19.6,7.1
2006-06,2375216,21.5,24.3
2006-07,2213895,23.0,31.3
2006-08,2261801,23.3,29.8
2006-09,2194261,23.5,29.6
2006-10,2259537,23.7,28.9
2006-11,1993975,23.9,28.9
2006-12,1700716,24.1,27.6
2007-01,1765333,24.2,27.7
2007-02,1798150,24.4,25.3
2007-03,2154363,24.6,26.4
2007-04,2009873,24.8,26.5
2007-05,2299909,25.0,16.2
2007-06,2558287,25.2,9.5
2007-07,2400749,25.4,8.9
2007-08,2411925,25.5,8.8
2007-09,2459026,25.8,8.7
2007-10,2464218,26.0,8.7
2007-11,2215396,26.2,9.1
2007-12,1848402,26.4,8.9
2008-01,1933084,26.6,8.9
2008-02,2069411,26.8,9.2
2008-03,2222060,26.9,8.2
2008-04,2401662,27.3,9.0
2008-05,2401376,27.4,8.6
2008-06,2742985,27.6,8.6
2008-07,2580140,27.7,8.6
2008-08,2465194,27.8,7.7
2008-09,2540877,27.9,7.2
2008-10,2496958,27.9,6.4
2008-11,2048775,27.8,5.2
2008-12,1814633,27.7,4.4
2009-01,1819336,27.6,2.9
2009-02,1910723,27.4,2.1
2009-03,2217951,27.4,0.6
2009-04,2190037,27.2,-0.6
2009-05,2357141,27.2,-1.4
2009-06,2705750,27.1,-2.2
2009-07,2656471,27.2,-2.1
2009-08,2532496,27.3,-2.1
2009-09,2532320,27.3,-2.3
2009-10,2566977,27.4,-1.4
2009-11,2240196,27.5,-0.6
2009-12,1946221,27.7,0.3
2010-01,1935960,27.8,1.3
2010-02,2028942,27.9,1.7
2010-03,2398396,28.1,3.2
2010-04,1734707,27.6,1.7
2010-05,2583839,27.9,2.6
2010-06,2904892,28.1,3.1
2010-07,2959234,28.4,3.9
2010-08,2853185,28.7,5.1
2010-09,2809223,29.0,5.9
2010-10,2827636,29.2,6.1
2010-11,2391644,29.4,6.1
2010-12,2090791,29.5,6.2
2011-01,2096677,29.7,6.3
2011-02,2150526,29.8,6.1
2011-03,2569396,30.0,8.5
2011-04,2549220,30.8,10.5
2011-05,2877185,31.1,10.8
2011-06,3134770,31.3,10.4
2011-07,3180199,31.5,9.9
2011-08,2977648,31.7,9.3
2011-09,3016375,31.9,9.0
2011-10,3024297,32.1,9.1
2011-11,2575743,32.2,9.2
2011-12,2251486,32.4,9.2
2012-01,2252515,32.6,9.3
2012-02,2410988,32.8,9.5
2012-03,2798324,33.0,7.3
2012-04,2654649,33.2,6.7
2012-05,3063575,33.3,6.5
2012-06,3242581,33.4,6.1
2012-07,3457613,33.7,6.5
2012-08,3215461,34.0,6.6
2012-09,3207642,34.2,6.5
2012-10,3179052,34.3,6.4
2012-11,2754849,34.5,6.4
2012-12,2354976,34.6,6.2
2013-01,2353346,34.7,5.7
2013-02,2481438,34.8,5.2
2013-03,2787842,34.8,4.8
2013-04,2967096,35.1,5.2
2013-05,3200069,35.2,5.2
2013-06,3562969,35.5,5.3
2013-07,3794724,35.9,5.6
2013-08,3458703,36.1,5.7
2013-09,3393453,36.3,5.8
2013-10,3347082,36.5,5.7
2013-11,2826119,36.5,5.6
2013-12,2513523,36.7,5.7
2014-01,2495009,36.8,5.9
2014-02,2539066,36.9,6.1
2014-03,2957999,37.1,5.7
2014-04,3067109,37.2,5.6
2014-05,3256373,37.2,4.8
2014-06,3781196,37.4,4.4
2014-07,3832517,37.5,3.8
2014-08,3510699,37.5,3.4
2014-09,3448621,37.6,3.1
2014-10,3393742,37.6,3.0
2014-11,2809410,37.6,2.5
2014-12,2511454,37.6,2.1
2015-01,2424874,37.5,1.8
2015-02,2556072,37.6,1.3
2015-03,2932322,37.5,1.0
2015-04,2983248,37.4,0.6
2015-05,3274360,37.5,0.1
2015-06,3702865,37.4,-0.2
2015-07,3860820,37.4,-0.3
2015-08,3538347,37.4,-0.4
2015-09,3460537,37.4,-0.5
2015-10,3380538,37.4,-0.5
2015-11,2861991,37.5,-0.3
2015-12,2527078,37.5,-0.1
2016-01,2463567,37.5,-0.0
2016-02,2687167,37.7,0.4
2016-03,2985088,37.7,0.8
2016-04,2943188,37.7,0.6
2016-05,3330222,37.7,1.0
2016-06,3672794,37.7,0.8
2016-07,3779389,37.6,0.5
2016-08,3535817,37.6,0.5
2016-09,3441932,37.6,0.5
2016-10,3431930,37.7,0.5
2016-11,2848087,37.6,0.4
2016-12,2608365,37.7,0.5
2017-01,2559648,37.8,0.4
2017-02,2631931,37.8,0.1
2017-03,3089413,37.9,0.5
2017-04,3058976,38.0,0.7
2017-05,3362704,38.0,0.8
2017-06,3770376,38.1,1.3
