unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGLL_SE_ESSA,London,Stockholm,,1012568,1002530,935775,921344,876267,889631,911178,891493,893121,904020,893414,897468,855515,849906,937452,848568,906978,831781,808855,793290,731820,696597,618035,569954
PAS,PAS_CRD,UK_EGLL_IT_LIRF,London,Rome,,988708,972145,960364,980100,1037373,1052938,1033093,945229,955387,984324,954633,972577,993428,928100,1029435,1186225,1118328,1058725,1115316,1089577,1024621,986428,858336,735678
PAS,PAS_CRD,UK_EGCC_IE_EIDW,Manchester,Dublin,,979743,858582,756177,619998,591371,560651,551626,655926,682637,695718,676465,641681,625276,574408,668283,659459,631109,539881,631531,601074,578349,495212,362544,249009
PAS,PAS_CRD,UK_EGLL_TR_LTBA,London,Istanbul,,956235,933041,924457,906253,874378,847920,724554,653180,604706,588038,577540,525458,495024,425925,470596,457226,517063,475913,461929,436765,401456,345867,321457,355959
PAS,PAS_CRD,UK_EGLL_DK_EKCH,London,København,,949566,997988,997336,968738,957316,939202,870478,853856,939520,905948,890586,888111,825460,886604,926311,863583,884981,853299,837728,772283,724781,693617,645910,599514
PAS,PAS_CRD,UK_EGKK_ES_LEMD,London,Madrid,,947446,933793,717919,652493,703117,796541,601991,633842,673538,663925,593455,434063,395582,484632,351175,288046,263941,323136,328366,348188,335391,290837,312260,300902
PAS,PAS_CRD,UK_EGLL_US_KEWR,London,Newark,,944639,1000189,1168357,1179521,1167650,1197850,1091604,1002986,882931,710319,689110,739615,700679,731785,843153,673471,798543,765384,757630,596903,602626,544612,454610,430478
PAS,PAS_CRD,UK_EGCC_AE_OMDB,Manchester,Dubai,,932649,860790,799631,768745,692580,637866,566198,521729,491982,495234,416201,370043,337122,269867,190092,169930,169010,130180,100830,91276,75859,,,
PAS,PAS_CRD,UK_EGLL_AE_OMAA,London,Abu Dhabi,,928813,835977,642485,638493,587863,578114,503521,525640,443205,329549,250332,362000,324250,219260,248722,206416,179831,170147,170369,173306,164505,145931,165542,143785
PAS,PAS_CRD,UK_EGBB_IE_EIDW,Birmingham,Dublin,,922077,780959,662316,561600,524512,534938,534993,581350,625160,570446,574919,481559,610451,572845,556792,546654,563276,569018,599142,593989,540191,444522,339967,185096
PAS,PAS_CRD,UK_EGKK_AE_OMDB,London,Dubai,,921431,866505,775362,716311,620853,617100,628816,570026,509694,519173,502379,482979,440952,415029,270106,154637,150268,163760,139038,100214,80490,,,90394
PAS,PAS_CRD,UK_EGLL_IN_VABB,London,Mumbai,,916714,949485,1048492,1046004,891279,950819,957233,861794,840425,1005900,1006862,725387,448022,353908,326870,344511,364858,355784,335350,341416,341649,328178,315025,276589
PAS,PAS_CRD,UK_EGSS_IE_EIDW,London,Dublin,,915259,880028,808836,726749,678498,735393,720975,787198,924460,983805,1031685,1120411,1274275,1108192,1051071,859206,831069,1125584,1104497,1001746,854157,711230,641045,551685
PAS,PAS_CRD,UK_EGLL_UK_EGPF,London,Glasgow,,893846,907873,870888,869796,828246,820953,1003351,1079761,1143314,1207038,1284470,1427273,1535570,1465082,1448294,1388375,1527781,1484785,1485839,,,,,
