unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENGM_FR_LFMN,Oslo,Nice,"[""NO_ENGM_FR_LFMN""]",200835,167897,152798,152912,143534,136538,126142,110723,143523,158091,129108,99928,98842,,,,,
PAS,PAS_CRD,NO_ENGM_TR_LTBA,Oslo,Istanbul,"[""NO_ENGM_TR_LTBA""]",199280,221921,199333,190065,156451,103347,81838,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_US_KEWR,Oslo,Newark,"[""NO_ENGM_US_KEWR""]",191711,222422,245038,243060,241577,218918,120107,101690,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_LV_EVRA,Oslo,Riga,"[""NO_ENGM_LV_EVRA""]",191562,187806,159692,162744,169414,187036,179137,164708,87527,92898,82429,,,,,,,
PAS,PAS_CRD,NO_ENGM_ES_LEPA,Oslo,Palma De Mallorca,"[""NO_ENGM_ES_LEPA""]",186046,142395,149052,155628,149006,109997,104480,108010,84786,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_HU_LHBP,Oslo,Budapest,"[""NO_ENGM_HU_LHBP""]",182053,144849,114624,126790,88021,83553,76686,76569,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_DK_EKBI,Oslo,Billund,"[""NO_ENGM_DK_EKBI""]",181834,157827,135202,119724,118479,133446,112721,82024,95018,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_NO_ENKB,Oslo,Kvernberget,"[""NO_ENGM_NO_ENKB""]",181760,193148,202526,201015,186543,178600,170252,168730,164295,161649,151524,129617,138140,133633,142626,,,
PAS,PAS_CRD,NO_ENGM_NO_ENAT,Oslo,Alta,"[""NO_ENGM_NO_ENAT""]",169962,204855,196508,175200,162949,174208,190076,178936,227129,243418,242623,174099,178405,141629,113413,,,
PAS,PAS_CRD,NO_ENGM_AE_OMDB,Oslo,Dubai,"[""NO_ENGM_AE_OMDB""]",163920,176904,,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_CH_LSZH,Oslo,Zurich,"[""NO_ENGM_CH_LSZH""]",162170,160046,183069,183830,188594,187535,173195,120616,,,,,,,94676,,,
PAS,PAS_CRD,NO_ENGM_IT_LIRF,Oslo,Rome,"[""NO_ENGM_IT_LIRF""]",161283,127340,135174,135878,122748,110969,112378,122632,138304,114612,,,,,,,,
PAS,PAS_CRD,NO_ENGM_AT_LOWW,Oslo,Vienna,"[""NO_ENGM_AT_LOWW""]",152689,128173,132152,134729,134131,142830,141061,103569,90620,95522,92559,,,,,,,
PAS,PAS_CRD,NO_ENGM_QA_OTHH,Oslo,Doha,"[""NO_ENGM_QA_OTBD"" ""NO_ENGM_QA_OTHH""]",147430,129652,,125209,89127,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_DE_EDDH,Oslo,Hamburg,"[""NO_ENGM_DE_EDDH""]",146875,133015,99225,100815,101973,100476,87772,82214,92164,87355,91134,,,,,,,
PAS,PAS_CRD,NO_ENGM_CZ_LKPR,Oslo,Prague,"[""NO_ENGM_CZ_LKPR""]",138714,133905,123604,131880,109425,138736,158762,175001,185672,162487,173595,105262,,,,,,
PAS,PAS_CRD,NO_ENGM_PL_EPKK,Oslo,Kraków,"[""NO_ENGM_PL_EPKK""]",136026,118137,99272,88366,84092,85713,75490,,84962,76903,,,,,,,,
PAS,PAS_CRD,NO_ENGM_RU_UUEE,Oslo,Moscow,"[""NO_ENGM_RU_UUEE""]",123698,115627,110559,112344,115256,80240,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_EE_EETN,Oslo,Tallinn,"[""NO_ENGM_EE_EETN""]",123018,114105,95938,90321,104682,88487,84833,88012,99347,107783,76769,,,,,,,
PAS,PAS_CRD,NO_ENGM_EL_LGSA,Oslo,EL_LGSA,"[""NO_ENGM_EL_LGSA""]",120229,105191,122000,117801,112702,110006,106444,92614,87768,,84638,,,,,,,
PAS,PAS_CRD,NO_ENGM_US_KJFK,Oslo,New York,"[""NO_ENGM_US_KJFK""]",114546,112588,106993,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_PT_LPPT,Oslo,Lisbon,"[""NO_ENGM_PT_LPPT""]",109857,123738,113014,96591,82178,75891,75575,,80647,91401,,,,,,,,
PAS,PAS_CRD,NO_ENGM_PL_EPGD,Oslo,Gdańsk,"[""NO_ENGM_PL_EPGD""]",109427,102423,90630,84598,77388,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_TR_LTAI,Oslo,Antalya,"[""NO_ENGM_TR_LTAI""]",105390,167383,169483,237066,253199,232263,177809,145893,117159,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_UK_EGCC,Oslo,Manchester,"[""NO_ENGM_UK_EGCC""]",103393,96778,81996,85324,77599,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_IE_EIDW,Oslo,Dublin,"[""NO_ENGM_IE_EIDW""]",98880,92323,84397,75012,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_ES_GCTS,Oslo,Tenerife Island,"[""NO_ENGM_ES_GCTS""]",98735,89460,102307,110916,108194,92017,,,81018,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_HR_LDSP,Oslo,Split,"[""NO_ENGM_HR_LDSP""]",95000,,75724,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_NO_ENSB,Oslo,Longyearbyen,"[""NO_ENGM_NO_ENSB""]",92258,82028,,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_PL_EPWA,Oslo,Warsaw,"[""NO_ENGM_PL_EPWA""]",91754,82564,,,,,,79386,100879,135274,86186,,,,,,,
PAS,PAS_CRD,NO_ENGM_LT_EYVI,Oslo,Vilnius,"[""NO_ENGM_LT_EYVI""]",91548,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_IT_LIMC,Oslo,Milan,"[""NO_ENGM_IT_LIMC""]",87997,86746,85188,78494,,79901,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_UK_EGPH,Oslo,Edinburgh,"[""NO_ENGM_UK_EGPH""]",85528,81481,,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_SE_ESGG,Oslo,Göteborg,"[""NO_ENGM_SE_ESGG""]",84702,,,,,,,,76928,81128,79144,,,84269,95645,,,
PAS,PAS_CRD,NO_ENGM_NO_ENOV,Oslo,Ørsta,"[""NO_ENGM_NO_ENOV""]",81223,89974,96998,98851,91204,76137,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_ES_LEMD,Oslo,Madrid,"[""NO_ENGM_ES_LEMD""]",,,,,,,,,83596,76686,,,,,,,,
PAS,PAS_CRD,NO_ENGM_DE_EDDL,Oslo,Düsseldorf,"[""NO_ENGM_DE_EDDL""]",,,,,82980,112448,109800,103815,88949,79722,,,,,,,,
PAS,PAS_CRD,NO_ENGM_EL_LGRP,Oslo,EL_LGRP,"[""NO_ENGM_EL_LGRP""]",,75728,,75070,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_CY_LCLK,Oslo,Larnarca,"[""NO_ENGM_CY_LCLK""]",,,,,81926,81178,,,,,,,,,,,,
