unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGPH_US_KJFK,Edinburgh,New York,"[""UK_EGPH_US_KJFK""]",117128,,,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,NO_ENGM_US_KJFK,Oslo,New York,"[""NO_ENGM_US_KJFK""]",114546,112588,106993,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,AT_LOWW_US_KJFK,Vienna,New York,"[""AT_LOWW_US_KJFK""]",112772,145417,174171,176388,172731,169693,161147,158197,133583,135543,183524,178950,151463,132272,139260,,,,87123,86416,75869,,85304,79069
PAS,PAS_CRD,IT_LIPZ_US_KJFK,Venice,New York,"[""IT_LIPZ_US_KJFK""]",94520,93272,97910,110707,124518,119341,121357,121041,117799,109237,112488,116239,111522,83027,98775,91814,,,,,,20329,38475,26197
PAS,PAS_CRD,FR_LFMN_US_KJFK,Nice,New York,"[""FR_LFMN_US_KJFK""]",92150,92407,95185,102183,102359,109380,105847,95400,99492,94988,91699,98605,98213,,98087,97978,101618,94863,106122,105973,94041,84003,91792,79770
PAS,PAS_CRD,PT_LPPT_US_KJFK,Lisbon,New York,"[""PT_LPPT_US_KJFK""]",86740,,,,,,,,,,,,,,85784,109240,191045,137331,112225,111630,140026,159145,151577,248096
PAS,PAS_CRD,FR_TFFR_US_KJFK,FR_TFFR,New York,"[""FR_TFFR_US_KJFK""]",23628,,,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,FR_TFFF_US_KJFK,FR_TFFF,New York,"[""FR_TFFF_US_KJFK""]",21527,,,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,UK_EGBB_US_KJFK,Birmingham,New York,"[""UK_EGBB_US_KJFK""]",,,,,,,,,,,,,,,,,,,,58671,69169,68948,60208,48906
PAS,PAS_CRD,UK_EGPF_US_KJFK,Glasgow,New York,"[""UK_EGPF_US_KJFK""]",,,,,,,,,,,,,,,,,,,,40840,44945,45783,41155,32016
PAS,PAS_CRD,DE_EDDS_US_KJFK,Stuttgart,New York,"[""DE_EDDS_US_KJFK""]",,,,,,,,,,,,,,,,,,80676,,,,,,
PAS,PAS_CRD,HU_LHBP_US_KJFK,Budapest,New York,"[""HU_LHBP_US_KJFK""]",,,,,,118383,,83605,133155,143207,133023,78755,77019,,73713,,,,,,,,,
PAS,PAS_CRD,FR_LF90_US_KJFK,FR_LF90,New York,"[""FR_LF90_US_KJFK""]",,,,,,,,,,,,,,,,,1580645,1388551,1354465,1333931,1339375,,,1125498
PAS,PAS_CRD,FR_LFSB_US_KJFK,Bâle/Mulhouse,New York,"[""FR_LFSB_US_KJFK""]",,,,,,,,,,,,,,,,,,72247,,,,,,
PAS,PAS_CRD,RO_LRTR_US_KJFK,Timişoara,New York,"[""RO_LRTR_US_KJFK""]",,,,,,,,,,,,,,12683,,,,,,,,,,
PAS,PAS_CRD,IT_LIRP_US_KJFK,Pisa,New York,"[""IT_LIRP_US_KJFK""]",,,,,,,48418,59238,67256,,,,,,,,,,,,,,,
PAS,PAS_CRD,FR_LFLL_US_KJFK,Lyon,New York,"[""FR_LFLL_US_KJFK""]",,,,,,,,,,,,,,,,62478,62383,,,,,,,
PAS,PAS_CRD,EL_LGAT_US_KJFK,EL_LGAT,New York,"[""EL_LGAT_US_KJFK""]",,,,,,,,,,,,,,,,,,,338329,,,,,
PAS,PAS_CRD,RO_LROP_US_KJFK,Bucharest,New York,"[""RO_LROP_US_KJFK""]",,,,,,,,,,,,,,33197,33854,36406,,,,,,,,
PAS,PAS_CRD,UK_EGAA_US_KJFK,Belfast,New York,"[""UK_EGAA_US_KJFK""]",,,,,,,,,,,,,,,,,,43935,46210,48376,46178,26382,,21202
PAS,PAS_CRD,DE_EDDH_US_KJFK,Hamburg,New York,"[""DE_EDDH_US_KJFK""]",,,,,,,,,,79591,,,,,,,,,,,,,46413,44444
