unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGSS_US_KJFK,London,New York,"[""UK_EGKK_US_KJFK"" ""UK_EGLL_US_KJFK"" ""UK_EGSS_US_KJFK""]",3265429,3198625,2972463,3015311,2838673,2678991,2516580,2584601,2917374,3173840,2752033,2939555,2966029,2670541,2513629,2404104,2891308,2786814,2634661,2526618,2423528,2439237,2078259,1810130
PAS,PAS_CRD,FR_LFPO_US_KJFK,Paris,New York,"[""FR_LFPG_US_KJFK"" ""FR_LFPO_US_KJFK""]",1577249,1503021,1368509,1406505,1361999,1268560,1189927,1184076,1214388,1729269,1659334,1729629,1575688,1347619,1486581,1437903,,,,,,1276391,1225413,
PAS,PAS_CRD,ES_LEMD_US_KJFK,Madrid,New York,"[""ES_LEMD_US_KJFK""]",747432,726614,701802,657007,685826,716832,709801,551995,477120,460556,460647,427143,355566,258809,295683,307709,353545,334627,456493,441693,451092,529072,362850,355151
PAS,PAS_CRD,DE_EDDF_US_KJFK,Frankfurt,New York,"[""DE_EDDF_US_KJFK""]",698320,709841,734158,682679,689269,659842,660847,637656,672761,695679,684519,726087,692503,616240,626265,637883,824027,729528,958565,887390,1011564,1075616,1021923,842758
PAS,PAS_CRD,IT_LIMC_US_KJFK,Milan,New York,"[""IT_LIMC_US_KJFK""]",689995,671989,556888,394145,379167,345534,321835,332555,294132,283559,285796,283261,272469,209768,244768,291790,,,258795,259717,293622,315821,343151,333019
PAS,PAS_CRD,NL_EHAM_US_KJFK,Amsterdam,New York,"[""NL_EHAM_US_KJFK""]",677994,659461,661207,628514,585620,559062,518603,501249,559481,498417,502872,497634,426565,382900,426693,450509,531026,531884,558493,590468,568224,583169,548342,561684
PAS,PAS_CRD,IT_LIRF_US_KJFK,Rome,New York,"[""IT_LIRF_US_KJFK""]",652322,635001,618971,601526,557821,550515,597302,577499,601694,564412,455643,387651,419819,332291,296741,404745,,,547740,664712,718042,665869,651329,629383
PAS,PAS_CRD,IE_EIDW_US_KJFK,Dublin,New York,"[""IE_EIDW_US_KJFK""]",638569,626435,600944,587069,504923,469561,476027,461672,468023,473244,453078,350361,317532,,224096,254937,290264,245311,227867,226749,237022,239948,239941,331932
PAS,PAS_CRD,CH_LSZH_US_KJFK,Zurich,New York,"[""CH_LSZH_US_KJFK""]",445142,463235,450067,421367,450322,463596,447536,417937,370541,350670,324388,262000,248542,225962,228622,,,305967,324754,234467,293134,293275,283155,279924
PAS,PAS_CRD,ES_LEBL_US_KJFK,Barcelona,New York,"[""ES_LEBL_US_KJFK""]",326580,283833,261223,255772,282389,330146,271596,264500,218494,179985,204495,200060,154668,91489,98057,159247,214914,217998,143782,102611,108300,105634,84434,68069
PAS,PAS_CRD,UK_EGCC_US_KJFK,Manchester,New York,"[""UK_EGCC_US_KJFK""]",321887,232789,113163,114190,114114,134935,122503,105789,194765,198608,205198,134418,133028,126215,124840,113898,232983,221293,220338,186463,120819,168023,198532,199380
PAS,PAS_CRD,IS_BIKF_US_KJFK,Reykjavík,New York,"[""IS_BIKF_US_KJFK""]",287766,235236,207971,204412,188806,173177,125354,107809,110952,112003,96243,79716,61918,46062,,,,,,,,,,
PAS,PAS_CRD,BE_EBBR_US_KJFK,Brussel,New York,"[""BE_EBBR_US_KJFK""]",273349,298051,284842,279315,367359,292288,291316,287619,312350,235389,224669,227774,183502,76272,88940,,344943,280028,426175,385482,254422,254853,277330,308173
PAS,PAS_CRD,DE_EDDL_US_KJFK,Düsseldorf,New York,"[""DE_EDDL_US_KJFK""]",239279,226118,207962,190947,133676,129718,93633,98110,130581,132766,140232,91259,,,,,,,289924,280992,158790,150828,96320,102033
PAS,PAS_CRD,PL_EPWA_US_KJFK,Warsaw,New York,"[""PL_EPWA_US_KJFK""]",186212,163197,173586,155935,107596,103850,119235,115434,130125,138445,131359,123195,116172,,,,,,,,,,,
PAS,PAS_CRD,DE_EDDT_US_KJFK,Berlin,New York,"[""DE_EDDT_US_KJFK""]",179090,171717,180772,141182,133773,140510,114873,113327,113329,99376,105122,,,,,,,,,,,,,
PAS,PAS_CRD,FI_EFHK_US_KJFK,Helsinki,New York,"[""FI_EFHK_US_KJFK""]",165432,177710,179530,181264,173877,171936,153610,177156,162716,145631,149658,149600,148714,142211,154975,,177347,185480,195382,191208,,,,
PAS,PAS_CRD,DE_EDDM_US_KJFK,München,New York,"[""DE_EDDM_US_KJFK""]",159638,147914,132273,140129,134943,166331,160867,150077,173167,177467,140304,157301,148741,141859,123635,,102721,104832,236225,219786,122975,130096,222238,226947
PAS,PAS_CRD,EL_LGAV_US_KJFK,EL_LGAV,New York,"[""EL_LGAV_US_KJFK""]",155840,133037,91071,77201,133191,165726,150627,215347,245993,253572,263536,264315,255429,203168,,,,,,,,,,
PAS,PAS_CRD,DK_EKCH_US_KJFK,København,New York,"[""DK_EKCH_US_KJFK""]",142063,128137,107848,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,IE_EINN_US_KJFK,Shannon,New York,"[""IE_EINN_US_KJFK""]",135295,123035,119442,102614,109359,141077,147459,164569,219993,251080,210551,199666,167906,,190791,186421,216036,218832,177443,189193,,227076,213239,
PAS,PAS_CRD,SE_ESSA_US_KJFK,Stockholm,New York,"[""SE_ESSA_US_KJFK""]",126291,119748,112460,,,,,,,,,,,,,,,,,,,,,
PAS,PAS_CRD,CH_LSGG_US_KJFK,Geneva,New York,"[""CH_LSGG_US_KJFK""]",117261,125663,128065,135165,131894,135616,134156,106338,112546,109636,106692,110204,108738,106863,107927,,,140759,141483,146413,135523,138700,158878,118633
