date,value,12mms-mill
2008-12,51528699,800.1
2009-01,47818580,794.9
2009-02,46234625,787.9
2009-03,55198486,779.9
2009-04,61736717,777.6
2009-05,65720362,771.2
2009-06,70963869,765.5
2009-07,80388376,762.0
2009-08,81674554,758.3
2009-09,72183054,754.6
2009-10,66804560,752.6
2009-11,52354764,752.6
2009-12,52153373,753.2
2010-01,48755441,754.2
2010-02,47580965,755.5
2010-03,58520041,758.8
2010-04,52732903,749.8
2010-05,68388092,752.5
2010-06,74015253,755.6
2010-07,84487812,759.7
2010-08,85299233,763.3
2010-09,77007151,768.1
2010-10,72009408,773.3
2010-11,55326034,776.3
2010-12,51925247,776.0
2011-01,51807778,779.1
2011-02,49052687,780.6
2011-03,59295644,781.3
2011-04,66642909,795.3
2011-05,72545832,799.4
2011-06,78110947,803.5
2011-07,88981234,808.0
2011-08,87740962,810.4
2011-09,81174771,814.6
2011-10,73356685,816.0
2011-11,55715019,816.3
2011-12,55302911,819.7
2012-01,52403881,820.3
2012-02,50234120,821.5
2012-03,60625668,822.8
2012-04,67088467,823.3
2012-05,72431335,823.2
2012-06,79812057,824.9
2012-07,89257165,825.1
2012-08,88880161,826.3
2012-09,81711928,826.8
2012-10,72528044,826.0
2012-11,55637385,825.9
2012-12,54148967,824.8
2013-01,50878488,823.2
2013-02,49024252,822.0
2013-03,61118991,822.5
2013-04,66122017,821.6
2013-05,75391135,824.5
2013-06,82042465,826.7
2013-07,90484901,828.0
2013-08,92012649,831.1
2013-09,83643367,833.0
2013-10,75186680,835.7
2013-11,56753362,836.8
2013-12,56407815,839.1
2014-01,53254712,841.4
2014-02,50969682,843.4
2014-03,61522595,843.8
2014-04,70779687,848.4
2014-05,78330725,851.4
2014-06,86160205,855.5
2014-07,94146632,859.2
2014-08,97802678,865.0
2014-09,86648977,868.0
2014-10,78782933,871.6
2014-11,59450578,874.3
2014-12,59133740,877.0
2015-01,55723643,879.5
2015-02,53861779,882.3
2015-03,65132903,886.0
2015-04,72845035,888.0
2015-05,82285754,892.0
2015-06,88810481,894.6
2015-07,99550053,900.0
2015-08,102033913,904.3
2015-09,91152778,908.8
2015-10,83110144,913.1
2015-11,62012764,915.7
2015-12,61729808,918.2
2016-01,59087598,921.6
2016-02,59029058,926.8
2016-03,69750474,931.4
2016-04,75209727,933.8
2016-05,86044891,937.5
2016-06,92012070,940.7
2016-07,105632053,946.8
2016-08,105703468,950.5
2016-09,96639674,956.0
2016-10,88300316,961.2
2016-11,66523496,965.7
2016-12,68759741,972.7
