unit,tra_meas,airp_pr,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENBR_NO_ENCN,137354,156211,163258,188696,185670,148916,129369,130005,131302,130280,124236,94978,106664,110886,113594,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENFL,:,:,:,:,:,:,60427,56812,46672,48617,44228,41200,42481,44592,52706,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENGM,1881933,1810278,1818852,1720796,1728198,1691299,1512714,1521933,1585465,1637429,1494195,1239568,1286934,1293282,1258696,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENHD,:,:,:,:,:,:,:,:,:,:,40388,:,47871,51238,56160,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENKB,:,:,:,78299,79407,:,68771,73825,74012,72761,64433,51920,52400,54060,58367,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENML,:,:,:,:,:,:,55457,61649,61300,67125,69773,47874,49766,50437,51594,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENRY,:,:,:,:,:,79461,94417,97638,84268,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENTO,155741,210242,272465,261021,237882,139725,130670,133857,122983,126957,122605,113095,132665,135746,129286,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENVA,348137,346644,354246,369144,349550,350267,303415,304445,389499,391485,361489,295023,325600,289916,274514,:,:,:
PAS,PAS_CRD,NO_ENBR_NO_ENZV,488614,511928,543096,565894,557749,564162,503304,512603,609122,602908,584292,428478,497960,511241,522062,:,:,:
PAS,PAS_CRD,NO_ENBR_PL_EPGD,77547,95573,81911,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBR_SE_ESSA,135419,135853,123579,117577,91869,92784,75854,:,52574,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBR_TR_LTAI,:,:,:,:,:,:,48585,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBR_UK_EGKK,184676,179522,180818,194342,146501,166615,169057,115392,55623,:,:,:,54822,51146,55633,:,:,:
PAS,PAS_CRD,NO_ENBR_UK_EGLL,119232,124969,113220,106366,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBR_UK_EGPD,:,:,:,:,:,:,46731,49193,52081,50396,50170,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBR_UK_EGSS,:,:,:,:,:,:,:,:,56001,73122,62585,43631,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENCN_DK_EKCH,86404,101177,115302,107703,101803,106796,105922,95767,116086,103702,105889,87026,51344,98042,110645,:,:,:
PAS,PAS_CRD,NO_ENCN_ES_GCLP,20216,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENCN_NL_EHAM,135329,134888,131822,125349,124899,107928,82553,89618,97518,87359,68239,26743,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENCN_NO_ENBR,137331,156199,163258,188625,185849,148576,129588,129966,131302,130280,124236,94978,106664,110886,113594,:,:,:
PAS,PAS_CRD,NO_ENCN_NO_ENGM,510535,498125,502915,494362,485229,492304,444465,448730,463550,423746,411280,354707,383256,370257,399963,:,:,:
PAS,PAS_CRD,NO_ENCN_NO_ENVA,46763,45151,24994,:,27968,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENCN_NO_ENZV,:,29755,29986,29937,29628,29621,26034,28191,33338,37696,44810,52490,63908,65449,73228,:,:,:
PAS,PAS_CRD,NO_ENCN_PL_EPGD,31254,32378,27978,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENDU_NO_ENBO,:,:,:,:,:,29204,:,:,:,:,:,:,:,:,17885,:,:,:
PAS,PAS_CRD,NO_ENDU_NO_ENGM,239337,226540,219613,210462,196994,166232,188812,174109,175473,176181,167656,126836,150590,149721,140890,:,:,:
PAS,PAS_CRD,NO_ENEV_NO_ENBO,:,:,:,:,20955,22591,24106,25972,25954,30649,37391,37552,44512,48100,29450,:,:,:
PAS,PAS_CRD,NO_ENEV_NO_ENGM,578882,557919,561088,528077,520615,507993,472847,427367,424910,411744,377193,296611,329762,298464,286214,:,:,:
PAS,PAS_CRD,NO_ENEV_NO_ENTC,:,20029,:,:,:,:,:,:,:,16812,17767,17649,19438,21910,31353,:,:,:
PAS,PAS_CRD,NO_ENEV_NO_ENVA,30970,34229,35049,24349,:,:,:,:,:,:,17003,17746,:,:,38316,:,:,:
PAS,PAS_CRD,NO_ENFL_NO_ENBR,47921,59354,67509,68247,67139,62306,60422,56808,46672,48617,44228,41200,42481,44592,:,:,:,:
PAS,PAS_CRD,NO_ENFL_NO_ENGM,50022,61852,68327,68318,65183,59558,59895,56819,50927,52370,48749,40046,37423,34850,:,:,:,:
PAS,PAS_CRD,NO_ENGM_AE_OMDB,163920,176904,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_AT_LOWW,152689,128173,132152,134729,134131,142830,141061,103569,90620,95522,92559,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_BE_EBBR,213400,212248,194140,173302,173846,174363,167233,161578,175795,176680,162824,111697,111046,97388,118636,:,:,:
PAS,PAS_CRD,NO_ENGM_CH_LSZH,162170,160046,183069,183830,188594,187535,173195,120616,:,:,:,:,:,:,94676,:,:,:
PAS,PAS_CRD,NO_ENGM_CY_LCLK,:,:,:,:,81926,81178,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_CZ_LKPR,138714,133905,123604,131880,109425,138736,158762,175001,185672,162487,173595,105262,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDB,285385,260335,190766,185748,172627,175454,161562,136246,134102,121675,96936,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDF,475475,507588,475529,404105,450587,463735,430093,444408,423560,399980,347599,267651,317444,320551,282445,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDH,146875,133015,99225,100815,101973,100476,87772,82214,92164,87355,91134,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDL,:,:,:,:,82980,112448,109800,103815,88949,79722,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDM,368343,330995,317973,307546,307311,298355,244836,246929,259338,264442,234414,160096,134695,110060,96013,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDT,77641,78613,234928,197114,143602,113610,83158,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DK_EKBI,181834,157827,135202,119724,118479,133446,112721,82024,95018,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DK_EKCH,1506326,1427618,1402753,1322769,1290909,1206480,1124765,1098041,1271857,1261799,1226612,1065652,1192504,1212821,1288163,:,:,:
PAS,PAS_CRD,NO_ENGM_EE_EETN,123018,114105,95938,90321,104682,88487,84833,88012,99347,107783,76769,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_EL_LGRP,:,75728,:,75070,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_EL_LGSA,120229,105191,122000,117801,112702,110006,106444,92614,87768,:,84638,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_GCLP,315850,300106,314167,344152,303728,298659,246407,245395,220089,181146,178884,154242,128938,115113,115376,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_GCTS,98735,89460,102307,110916,108194,92017,:,:,81018,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEAL,321852,265624,248658,232050,197016,181764,180097,165000,174607,172483,139514,118336,171571,163780,124357,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEBL,300996,268835,237330,210846,153536,152557,135313,119786,106655,124805,95268,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEMD,:,:,:,:,:,:,:,:,83596,76686,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEMG,285192,246786,209702,202751,170435,154869,150077,126547,138080,125737,125310,102091,108169,96794,89424,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEPA,186046,142395,149052,155628,149006,109997,104480,108010,84786,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_FI_EFHK,406888,387471,390179,363223,341094,322493,281511,240257,272477,252438,204270,171344,177480,166994,156927,:,:,:
PAS,PAS_CRD,NO_ENGM_FR_LFMN,200835,167897,152798,152912,143534,136538,126142,110723,143523,158091,129108,99928,98842,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_FR_LFPG,352074,349477,351688,310746,320356,309396,288359,283357,295113,285043,187165,133386,202947,295564,298615,:,:,:
PAS,PAS_CRD,NO_ENGM_FR_LFPO,107068,102631,91760,95593,91474,102471,94202,97247,120676,131758,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_HR_LDSP,95000,:,75724,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_HU_LHBP,182053,144849,114624,126790,88021,83553,76686,76569,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_IE_EIDW,98880,92323,84397,75012,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_IS_BIKF,307804,300445,264531,249823,227650,191243,168423,159011,157215,162700,148290,98606,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_IT_LIMC,87997,86746,85188,78494,:,79901,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_IT_LIRF,161283,127340,135174,135878,122748,110969,112378,122632,138304,114612,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_LT_EYVI,91548,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_LV_EVRA,191562,187806,159692,162744,169414,187036,179137,164708,87527,92898,82429,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_NL_EHAM,685098,639376,611515,601590,607970,589789,537126,532038,576037,579790,535381,434791,457996,450163,423099,:,:,:
