unit,tra_meas,airp_pr,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENRY_DK_EKAH,:,:,:,:,:,24325,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_EE_EETN,22431,28810,31982,34859,33333,32461,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_EL_LGAT,:,:,:,:,:,:,:,:,15553,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_EL_LGSA,24935,30847,29426,29058,24326,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_GCLP,:,30701,24608,:,:,:,20418,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_GCTS,:,:,23299,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_LEAL,84960,106243,102833,106053,69511,77447,54799,26147,33941,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_LEBL,:,:,51175,64008,55413,50659,:,:,35783,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_LEGE,:,:,:,:,:,:,27901,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_LEMD,:,37505,27850,30081,29733,46337,54372,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_LEMG,50481,75604,87646,98151,71028,70358,48464,23958,24066,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_ES_LEPA,27739,33424,28098,28385,29901,31161,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_FR_LFOB,:,26080,50588,64813,70523,55949,47003,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_HR_LDZD,:,21163,:,:,20408,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_HU_LHBP,:,:,:,:,35605,:,:,22397,17473,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_IE_EIDW,41400,57758,54504,53268,81564,90117,54465,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_IT_LIME,44739,58425,50199,46936,40695,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_IT_LIPH,:,:,:,:,:,:,22603,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_IT_LIRA,:,:,43095,37010,34353,36712,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_LT_EYKA,:,41806,38111,23487,54796,47759,21648,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_LT_EYVI,65071,61206,60552,64093,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_LV_EVRA,44572,55338,53622,51187,50295,46032,27994,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_NL_EHEH,:,:,:,:,:,:,20967,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_NO_ENBO,:,:,:,:,:,:,44911,62703,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_NO_ENBR,:,:,:,23415,26548,79110,94543,97877,84268,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_NO_ENTC,:,:,:,:,:,:,21179,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_NO_ENVA,:,:,:,:,:,78078,94545,93971,16014,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_NO_ENZV,:,:,:,:,:,:,42151,53117,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPGD,69903,85787,74761,61505,54015,40031,27486,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPKK,97216,128212,115444,105353,92466,74385,45009,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPPO,31643,36529,40288,26097,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPRZ,25603,33058,29305,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPSC,21808,20994,:,:,:,:,:,:,17631,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPWA,:,:,:,55148,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PL_EPWR,36585,47008,44555,40127,34295,30176,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PT_LPFR,:,:,:,20385,20083,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_PT_LPMO,92640,117738,90908,:,23560,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_TR_LTAI,:,:,:,:,:,:,28399,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_UK_EGCC,48861,62722,59942,52993,50586,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_UK_EGKK,:,:,:,:,73454,91941,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_UK_EGNT,:,:,:,:,:,23659,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_UK_EGPH,31680,39469,38953,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENRY_UK_EGSS,201192,284689,253049,251772,191043,171536,167445,40433,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENSB_NO_ENGM,92258,82028,:,:,:,:,:,:,71156,57964,51228,39834,44830,44469,45169,:,:,:
PAS,PAS_CRD,NO_ENSB_NO_ENTC,63778,61569,:,:,:,:,:,:,66337,67907,61542,50702,58815,51902,52758,:,:,:
PAS,PAS_CRD,NO_ENSG_NO_ENBR,16268,15839,:,:,:,:,:,:,22584,21850,20807,16237,17909,19321,17970,:,:,:
PAS,PAS_CRD,NO_ENSG_NO_ENGM,41088,36521,:,:,:,:,:,:,43869,43771,42109,33579,36900,36920,35146,:,:,:
PAS,PAS_CRD,NO_ENSG_NO_ENOV,:,:,:,:,:,:,:,:,16789,18183,17054,14593,14988,15190,13838,:,:,:
PAS,PAS_CRD,NO_ENSG_NO_ENSD,:,10283,:,:,:,:,:,:,13367,13138,13436,10416,11825,13353,13463,:,:,:
PAS,PAS_CRD,NO_ENSH_NO_ENBO,:,:,:,:,:,:,:,:,:,74821,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENSK_NO_ENBO,68832,69706,:,:,:,:,:,:,81383,79313,77322,63114,73112,75152,77626,:,:,:
PAS,PAS_CRD,NO_ENSK_NO_ENTC,15404,15562,:,:,:,:,:,:,22363,22768,21173,16673,16798,:,:,:,:,:
PAS,PAS_CRD,NO_ENST_NO_ENBN,21362,23409,:,:,:,:,:,:,17016,16807,16373,13276,14865,17995,15615,:,:,:
PAS,PAS_CRD,NO_ENST_NO_ENBO,29756,28492,:,:,:,:,:,:,36273,36773,32327,27537,29713,31922,33151,:,:,:
PAS,PAS_CRD,NO_ENST_NO_ENVA,16226,16920,:,:,:,:,:,:,37015,35492,31464,29075,32282,33514,28643,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENAN,29271,28653,28388,27257,28631,27450,28785,28329,22846,21916,:,:,21299,21586,21672,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENAT,96744,92726,90970,93804,92185,88841,76800,81152,93668,96055,97672,84701,94929,102898,122682,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENBO,257881,254831,247428,252981,315000,302844,281706,304106,222231,210355,202315,170623,187880,186154,186041,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENBR,43114,38040,31963,21548,:,:,35185,21417,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENEV,27546,26370,25454,25303,20438,:,:,:,:,:,:,:,:,21910,31353,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENGM,1068288,1005836,984509,950767,917317,854077,741944,717867,797054,802707,751378,591198,630499,617374,608910,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENHF,119300,116338,118265,119048,105502,103895,92167,98734,101935,110518,108759,86949,88731,79780,70615,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENKR,40720,45242,50166,53005,49790,43132,38672,41581,49116,51145,51504,44131,48155,64038,83943,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENNA,49791,46963,49649,50954,51773,50560,48520,49869,44751,43552,42216,38889,43617,37709,54856,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENRY,:,:,:,:,:,:,21074,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENSB,27989,28028,30173,37860,42888,43630,39975,39302,66337,67907,61542,50702,58815,51902,52758,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENSK,:,:,:,21262,22298,:,:,:,22363,22768,21173,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENSR,25038,23204,24916,26250,24385,24532,21542,22487,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENVA,46204,44853,46372,30322,:,:,:,:,148986,138262,128313,112392,143374,129875,131194,:,:,:
PAS,PAS_CRD,NO_ENTC_NO_ENVD,30286,31198,31417,27270,27096,27099,25037,:,22943,23761,22704,:,:,:,22224,:,:,:
PAS,PAS_CRD,NO_ENTC_UK_EGKK,:,:,28435,22945,:,:,22242,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTC_UK_EGSS,:,:,:,:,:,:,:,:,21365,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_DE_EDDW,:,:,:,:,27169,36894,45449,60019,54944,39365,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_DE_EDFH,:,:,:,:,:,33262,52746,82254,95311,102741,93512,90335,103536,98724,73098,:,:,:
PAS,PAS_CRD,NO_ENTO_DE_EDLV,:,:,:,:,:,:,:,67691,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_DK_EKCH,82404,87058,88537,94830,107780,105934,99435,95141,104958,110376,109270,93436,107134,111873,114402,:,:,:
PAS,PAS_CRD,NO_ENTO_ES_GCLP,32709,29811,34113,38568,32261,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_ES_LEAL,62039,63239,70162,67789,48248,52722,45531,25417,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_ES_LEGE,:,:,:,:,:,:,38472,45234,26209,22916,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_ES_LEMD,:,:,:,:,:,:,:,:,22345,47684,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_ES_LEMG,53750,60590,57092,48925,45141,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_ES_LEPA,:,:,28572,35362,31222,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_FR_LFML,:,:,:,:,:,:,:,:,23372,33289,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_FR_LFOB,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21945,:,:,:
PAS,PAS_CRD,NO_ENTO_IE_EIDW,:,:,:,:,:,:,:,57783,60712,51920,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_IT_LIME,:,:,:,20452,38360,60628,72528,81241,84622,65915,90972,66115,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_IT_LIPE,:,:,:,:,:,:,:,22301,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_IT_LIRA,:,:,:,:,:,:,30777,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_IT_LIRP,:,:,:,:,:,:,21922,24485,24338,32415,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_LT_EYVI,44427,38700,30665,31373,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_LV_EVRA,39959,38318,34849,28746,28605,26764,25598,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_MK_LWSK,29470,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_NL_EHAM,113091,115823,107351,110807,112808,89198,82023,76808,81576,81270,81564,68245,84866,89264,94013,:,:,:
PAS,PAS_CRD,NO_ENTO_NO_ENBR,156674,210245,271928,258012,234753,136841,128904,131816,122983,126957,122605,113095,132665,135746,129286,:,:,:
PAS,PAS_CRD,NO_ENTO_NO_ENVA,129455,158592,233747,242695,218309,107327,95882,101386,91892,91105,89270,81690,94585,95057,93468,:,:,:
PAS,PAS_CRD,NO_ENTO_NO_ENZV,84327,104073,110250,108463,101143,90255,85603,88533,87837,91143,89434,78244,86047,84544,92583,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPGD,103659,93624,79159,72612,67090,42033,48299,44193,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPKK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPKT,84144,84539,70667,74603,82205,72877,54949,60766,54366,40328,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPLB,34662,32834,29175,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPMO,:,:,:,:,27151,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPPO,33922,28559,28796,38005,37997,38282,35645,36627,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPSC,27153,28087,27470,21540,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPWA,76635,61502,53802,57430,32197,45480,57559,54887,25401,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_PL_EPWR,28592,27941,21996,22798,26856,26086,25834,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_RO_LROP,37793,32347,31364,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_SE_ESKN,:,:,:,:,:,:,:,:,:,:,:,:,:,60768,:,:,:,:
PAS,PAS_CRD,NO_ENTO_SE_ESSA,:,:,:,:,:,:,:,:,:,:,:,:,20255,22431,23246,:,:,:
PAS,PAS_CRD,NO_ENTO_TR_LTAI,:,:,32011,32855,42686,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGBB,:,:,:,:,:,:,:,29187,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGCC,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGGP,26290,33612,29758,41986,44864,53854,56688,54896,55049,50537,61204,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGKK,:,32383,49162,60619,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGNT,:,:,:,:,:,:,:,:,:,:,30148,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGPH,:,:,:,37230,47705,43441,34696,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGPK,:,:,:,:,:,:,:,50431,30034,32408,33288,38604,58160,67679,47896,:,:,:
PAS,PAS_CRD,NO_ENTO_UK_EGSS,63263,76754,87837,88125,97483,94758,172263,310277,215154,211822,222716,202372,226334,203796,152760,:,:,:
PAS,PAS_CRD,NO_ENVA_DK_EKCH,175338,175564,203351,193099,193495,131753,116954,114009,114404,95831,93158,78272,90301,83776,73092,:,:,:
PAS,PAS_CRD,NO_ENVA_ES_GCLP,61151,46510,66974,63360,55466,59218,49310,40355,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_ES_LEAL,53766,45118,41883,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_LV_EVRA,44920,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_NL_EHAM,161950,158151,161910,164029,158309,140738,107616,100489,91331,93893,81781,53814,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENAL,52545,53382,77384,87073,107040,88805,82431,80068,75232,80577,81248,68475,78789,79857,74106,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENBN,81091,77698,76672,78544,75458,73326,79062,72282,63413,62778,56973,45758,47217,47154,42716,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENBO,268229,258011,247939,256227,311222,306479,273906,288994,233366,227655,223223,184173,216777,219294,219227,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENBR,405850,401831,448441,487121,486312,465346,401000,408896,389499,391485,361489,295023,325600,289916,274514,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENCN,48201,43953,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENGM,1988217,1942404,1911857,1873409,1818353,1748658,1588290,1542205,1630407,1621288,1456330,1213590,1279201,1291815,1304716,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENMS,56753,56776,58194,57967,57595,57408,54463,51042,43982,46253,41622,:,:,41292,43063,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENRA,:,:,:,:,:,:,:,:,48846,47052,43335,:,41828,45813,44011,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENRY,:,:,:,:,:,78116,94525,93914,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENTC,42866,:,43507,:,:,:,:,:,148986,138262,128313,112392,143374,129875,131194,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENTO,127969,158418,234610,245253,220307,108766,96566,102311,91892,91105,89270,81690,94585,95057,93468,:,:,:
PAS,PAS_CRD,NO_ENVA_NO_ENZV,135323,138603,106551,77539,61926,99164,92481,65640,182128,182972,160820,123855,135868,128076,125790,:,:,:
PAS,PAS_CRD,NO_ENVA_PL_EPKK,48879,44494,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_SE_ESSA,52911,43260,40519,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_TR_LTAI,:,42033,45278,56791,70305,61888,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_UK_EGKK,69803,68079,65629,58968,41864,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVA_UK_EGSS,:,:,:,:,:,:,:,:,:,:,48306,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENVD_NO_ENAT,12108,12991,:,:,:,:,:,:,21513,23141,18962,15998,16924,17407,16706,:,:,:
PAS,PAS_CRD,NO_ENVD_NO_ENBS,:,:,:,:,:,:,:,:,:,:,:,:,:,10027,12663,:,:,:
PAS,PAS_CRD,NO_ENVD_NO_ENKR,16490,17661,:,:,:,:,:,:,29101,26675,24708,20809,24749,25322,25679,:,:,:
PAS,PAS_CRD,NO_ENVD_NO_ENTC,23024,23912,:,:,:,:,:,:,22943,23761,22704,17965,19199,19886,22224,:,:,:
PAS,PAS_CRD,NO_ENZV_DE_EDDF,:,128590,154485,141620,107943,125791,125813,102217,83331,67629,68265,48521,43245,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_DK_EKCH,293820,264274,280262,272104,275316,247010,193762,185602,213789,210586,210429,173568,222407,221706,232537,:,:,:
PAS,PAS_CRD,NO_ENZV_ES_GCLP,41193,:,42394,49672,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_ES_LEAL,65162,54493,51800,52760,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_FR_LFPG,:,60560,58377,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_LT_EYVI,:,43391,41880,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_NL_EHAM,270548,271886,284115,296364,309016,286710,253341,263052,274083,251778,213097,147414,157228,123844,146307,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENAL,:,:,:,:,:,:,:,:,:,:,51857,:,44092,47485,44826,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENBR,553947,573501,667885,716119,728298,713129,642122,652098,609122,602908,584292,428478,497960,511241,522062,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENCN,:,:,:,:,:,:,:,:,:,:,44810,52490,63908,65449,73228,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENGM,1563137,1515293,1563336,1534586,1515906,1433059,1274699,1255867,1355210,1302691,1182034,948325,993397,984975,971925,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENRY,:,:,:,:,:,:,42129,52786,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENTO,83481,103806,111462,110854,103060,90462,85417,88717,87837,91143,89434,78244,86047,84544,92583,:,:,:
PAS,PAS_CRD,NO_ENZV_NO_ENVA,135323,138771,106528,77623,61926,98857,92329,65712,182128,182972,160820,123855,135868,128076,125790,:,:,:
PAS,PAS_CRD,NO_ENZV_PL_EPGD,68774,75742,59332,55039,41950,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_TR_LTAI,:,:,:,40941,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_UK_EGKK,73710,70680,68403,66838,67290,68470,66405,55032,43931,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENZV_UK_EGLL,189631,197135,212093,216017,158950,128871,100803,93593,99529,95074,93468,73716,79927,81898,61572,:,:,:
PAS,PAS_CRD,NO_ENZV_UK_EGNT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,33187,:,:,:
PAS,PAS_CRD,NO_ENZV_UK_EGPD,97373,116073,137769,164576,165480,149055,133875,127011,144774,134602,124526,89486,114038,112299,116385,:,:,:
