unit,tra_meas,airp_pr,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10,2015M09,2015M08,2015M07,2015M06,2015M05,2015M04,2015M03,2015M02,2015M01,2014M12,2014M11,2014M10,2014M09,2014M08,2014M07,2014M06,2014M05,2014M04,2014M03,2014M02,2014M01,2013M12,2013M11,2013M10,2013M09,2013M08,2013M07,2013M06,2013M05,2013M04,2013M03,2013M02,2013M01,2012M12,2012M11,2012M10,2012M09,2012M08,2012M07,2012M06,2012M05,2012M04,2012M03,2012M02,2012M01,2011M12,2011M11,2011M10,2011M09,2011M08,2011M07,2011M06,2011M05,2011M04,2011M03,2011M02,2011M01,2010M12,2010M11,2010M10,2010M09,2010M08,2010M07,2010M06,2010M05,2010M04,2010M03,2010M02,2010M01,2009M12,2009M11,2009M10,2009M09,2009M08,2009M07,2009M06,2009M05,2009M04,2009M03,2009M02,2009M01,2008M12,2008M11,2008M10,2008M09,2008M08,2008M07,2008M06,2008M05,2008M04,2008M03,2008M02,2008M01,2007M12,2007M11,2007M10,2007M09,2007M08,2007M07,2007M06,2007M05,2007M04,2007M03,2007M02,2007M01,2006M12,2006M11,2006M10,2006M09,2006M08,2006M07,2006M06,2006M05,2006M04,2006M03,2006M02,2006M01,2005M12,2005M11,2005M10,2005M09,2005M08,2005M07,2005M06,2005M05,2005M04,2005M03,2005M02,2005M01,2004M12,2004M11,2004M10,2004M09,2004M08,2004M07,2004M06,2004M05,2004M04,2004M03,2004M02,2004M01,2003M12,2003M11,2003M10,2003M09,2003M08,2003M07,2003M06,2003M05,2003M04,2003M03,2003M02,2003M01,2002M12,2002M11,2002M10,2002M09,2002M08,2002M07,2002M06,2002M05,2002M04,2002M03,2002M02,2002M01
PAS,PAS_CRD,NO_ENGM_BE_EBBR,26000,22522,23330,23466,21080,18152,20262,20910,19585,20944,18516,20646,21135,17537,9569,12983,17428,13885,14993,16628,20277,20874,16761,19307,21441,18181,17606,18392,14643,13145,13123,16711,18970,19733,15667,18059,20465,16468,17087,14920,12174,10763,12284,14109,15519,16334,13266,15950,18089,15944,15586,13521,11876,10824,11645,13881,16781,17022,12752,16359,18285,15039,15249,15287,12337,9209,10615,12839,16059,16537,11956,17743,18816,17215,14441,14892,12964,10286,12056,13405,16510,15170,12265,16721,18695,14027,10942,15567,11758,10117,10991,13127,15996,15931,11188,15534,17408,14235,14067,13274,10705,9122,9479,11994,15564,15307,10603,14913,19924,16268,18864,16317,14602,11960,13556,16785,17012,16522,11610,14754,17407,15016,14972,15677,12954,10415,11887,12660,17112,16128,11903,13012,18090,16083,13394,14525,9956,8074,9067,11528,12824,12817,8987,3945,2875,12097,12300,10234,8962,6061,7665,9783,11651,10068,8725,9149,11398,9942,8970,10028,8010,5657,6798,8192,9230,8117,7227,8589,10536,8749,7719,8432,6669,7130,7406,9393,11282,11925,9001,11414,12258,11931,10626,9115,7708,6577
PAS,PAS_CRD,NO_ENGM_CH_LSZH,17227,11507,12305,15408,13088,10865,12513,8442,12756,13495,17728,21608,16091,12862,11040,13773,13030,8832,10816,9041,11867,13745,15835,18450,17150,13151,11766,15123,12521,10581,12122,9215,13641,15440,17169,20034,18928,13910,16217,17625,15634,13134,12930,10847,14214,17070,16634,21097,17559,13259,12998,17238,16008,13976,13212,11846,15788,15152,16772,21526,18325,14470,14103,18303,16332,12765,12872,12210,15076,15409,17744,21480,18067,14718,14972,17021,14804,13162,12933,11647,15361,14764,16180,20072,17626,12985,9658,16037,13766,12166,12650,11752,13555,13803,14432,18525,9368,3958,4161,7633,6342,4437,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5005,4238,6873,8148,9675,13221,11120,7868,7379,8971,7171,5007
PAS,PAS_CRD,NO_ENGM_CY_LCLK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1729,1403,6485,10138,13221,16340,13121,9219,5636,1772,1306,1556,1486,1185,7963,12371,13692,16290,11469,9201,5650,1068,209,594,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_CZ_LKPR,:,:,:,:,:,:,9941,10268,15042,14963,13611,9204,12782,15345,13683,12075,5976,5824,9839,9087,12583,13514,14397,13916,13405,14285,13760,8536,5498,5085,9056,10626,13021,13818,10106,9352,12365,12267,11809,9000,6277,5907,8201,8785,12805,14315,13697,14624,12222,13682,11738,10433,5828,5550,10015,9961,11712,11666,9121,9611,9424,9643,9464,6474,5710,6624,8198,7437,13460,14387,13616,17311,13801,13161,13825,8879,7319,7342,8653,8968,16513,16934,15681,19352,15677,15930,11232,12053,8402,9367,11779,12194,15675,16167,17516,22058,18282,16096,17214,11854,8055,8111,10191,9890,17743,17859,18843,25759,19665,17420,16806,12895,9247,9354,10147,10603,16173,16224,16187,18727,16685,14726,13823,12422,8656,8114,9870,11865,18027,18697,19257,19283,17140,17022,12905,12669,8268,8592,9521,11317,12992,12540,14260,6118,2507,10762,9594,7309,4948,3394,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDB,24484,27537,25749,19995,22245,21844,23962,21415,27204,26845,23680,20216,23683,27924,23726,24899,22169,19662,24164,22243,26633,27141,23902,20429,22829,25106,21396,14683,16088,15721,14969,16243,18003,17056,16688,17449,16677,16306,16614,14009,13310,13442,15676,14799,17956,16462,16403,18317,16543,16681,15018,13741,12002,12150,12985,14184,17051,15957,15469,16368,13422,15106,14515,13175,12046,12349,12494,13922,16846,16446,16341,16913,15752,15855,15102,13563,10864,11356,11747,14580,16402,16432,16151,17491,14517,13960,8642,11977,10362,9301,11434,12344,13613,12977,12631,14613,12821,12192,11967,8921,6461,6272,7357,9190,13703,13511,11767,13041,11640,12482,12401,12103,8949,7958,10639,10570,13267,13058,10267,9103,11270,11874,11354,7794,6118,6361,6301,6440,7059,8991,9887,8992,9122,8456,8121,8474,7925,7168,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDF,46602,41421,43391,41521,38778,37591,35854,32601,42910,42537,43625,49051,43162,36862,36917,40814,36153,34989,34349,29751,45009,45180,46508,56410,49057,41250,38683,43603,41280,36508,34687,35087,42350,44720,49614,56017,49086,37461,36048,33538,29045,27876,30501,27576,32632,35390,34813,44176,37411,31589,31231,36319,31866,30601,33208,29708,39197,38454,37580,49409,44513,37537,37081,39088,32895,31917,36467,32584,40971,38926,37020,50253,45005,39636,39124,38112,33062,32575,32577,32246,39038,37143,38686,50013,44682,36704,25190,37760,27781,28273,30013,30828,37373,35991,38454,50064,44991,38168,38623,37829,31292,30782,31408,29093,35147,35952,36179,43931,42143,34887,33127,35701,32925,33067,31559,31136,35166,35985,35291,38251,39361,31634,30615,33980,28370,28632,26643,25333,29846,29898,31925,36454,34983,26881,28831,27256,24361,25188,22961,22826,28125,27988,27727,10362,6135,25304,25399,24833,24055,21936,21250,21358,29422,24344,27224,33532,31221,25348,25859,28600,25625,23661,22874,23614,29245,28151,30278,35917,32302,26296,26087,24716,19786,21285,18967,21615,27775,26986,26147,30672,30426,23338,23146,22418,19473,11482
PAS,PAS_CRD,NO_ENGM_DE_EDDH,17922,15494,14553,14970,10583,10693,13829,9772,12259,14187,15628,15139,13138,12672,9675,12648,9386,8542,10542,9008,11817,12615,14350,11688,13703,12752,11168,10093,8268,7011,9615,8373,8042,8604,8981,8467,11456,7884,7819,7601,5918,6465,7236,6871,7843,9878,9680,9730,10339,10080,9362,7624,6302,5870,6722,6784,8573,10984,10566,9654,10210,9635,8489,8010,6927,5419,7579,8523,9364,9638,9702,8857,10275,9255,8327,7279,6255,5422,7053,7234,8126,9154,7644,8548,9535,7615,5114,6984,5683,5082,6178,6889,7067,7400,6376,8238,8346,6719,6878,6227,6230,5666,6599,6566,7861,8913,7525,8576,8898,8076,7513,7493,7037,7107,7109,7321,8150,7690,7572,8003,7151,7362,7058,7516,6240,6183,6372,6694,7566,7901,8262,9011,8570,6333,7294,8176,7563,7392,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4467,6083,7159,7882,5066,4866,7956,7629,6205,9810,8427,7430,7316,8697,10231,10965,8996,9728,11455,11197,8750,8816,7663,8634,8461,9020,11057,10048,11248,7510,9889,10347,6299,9450,8043,8428,8298,9634,10705,9931,7831,7694,10015,8930,8608,8050,7062,7057,5483,5405,6911,7510,8580,8612,9599,8502,8036,7166,6355,6790,5609,6081,7888,7397,7128,6755,7382,7173,6584,6381,5229,6115,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DE_EDDM,36385,32246,30423,36189,34294,28621,26444,22788,32099,34673,30293,32949,35245,32102,28686,33993,33289,25782,23382,23591,29066,30545,25491,28145,31453,28120,27462,29321,28151,26268,22411,21225,28120,29242,25602,28817,29252,26082,24503,30325,26819,25575,22106,20126,25693,27515,23738,27802,28999,24611,24635,29129,28929,24263,20646,21330,26454,27180,23395,27950,28552,27115,24528,29163,26674,24324,23460,22075,27449,26359,23237,30428,29859,26343,24675,23367,21258,19845,18853,18667,22764,22337,20059,28031,25683,20835,14108,21716,16501,15282,16099,16553,20612,20084,20412,26754,25059,20759,20799,20824,21447,17527,16290,17652,21094,24374,21980,27425,25666,21968,19878,23034,21375,18602,17030,19851,22708,22952,22788,29333,25634,20376,23180,24003,21007,15580,16855,17283,22055,21961,21460,28153,24415,19237,15443,17112,15616,14824,12500,13059,16661,18629,16254,7931,4135,16594,16554,13897,13994,9888,9799,11369,14005,12591,11504,13133,12523,11103,10362,10786,9498,8022,7206,8953,11323,11302,9372,10800,10457,9433,8149,8546,7299,7220,6097,7491,9732,9099,8989,10733,10488,9200,8458,6874,5462,3390
PAS,PAS_CRD,NO_ENGM_DE_EDDT,:,:,:,:,:,:,5507,3866,8269,9425,7754,7002,7901,7256,6701,6308,4677,2975,5540,4721,8847,9062,5926,7156,7918,7452,6845,7637,3176,4333,16300,13558,22697,23304,23352,25559,25994,20631,21704,17044,12341,12444,17317,15057,16731,17219,17889,21232,19049,17085,17962,16627,12067,8879,12116,13475,14643,14145,13726,15985,14132,13103,9150,9819,7803,5505,8047,8020,10172,10304,10486,13288,11486,9964,9489,8990,8070,5294,8107,7206,9554,8843,9941,10829,9207,7251,2905,3933,3068,2314,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DK_EKBI,18529,17330,15062,14496,11667,11860,12081,13520,17381,15953,18458,16738,18680,17626,14687,13694,12375,10641,10774,12704,14642,14793,15483,17435,15603,13954,12082,10983,9847,9527,9954,11751,13076,12593,12727,13028,13965,12787,11441,9113,7708,7059,7373,8018,10601,11277,12032,12917,12215,12341,10096,9463,6612,6779,7816,10999,11101,10167,9776,9053,9002,9613,10334,11385,9568,9665,8539,10799,11653,11315,12275,11640,13158,12417,10126,11363,10137,10024,10293,10724,10971,10801,10806,10590,11335,10458,5735,9633,6366,5009,5553,6027,7272,8234,7827,6477,8262,7323,6546,7563,5583,5357,2758,3388,9183,9221,8825,8270,11044,10714,9835,7065,7631,7084,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_DK_EKCH,146042,135602,124275,131867,116375,113459,113624,126224,134342,135995,127840,123248,138291,132886,120478,127605,116398,109395,110438,125260,131696,134020,117998,115542,137437,122372,113573,117968,101095,100219,103078,113522,123748,127418,116822,111664,137237,123910,121034,118899,102175,103246,101840,117459,122495,121091,107378,94466,123778,116144,110086,108687,100355,98990,94706,111180,116577,116178,107356,99489,119208,116170,100322,114076,99813,95834,92066,108980,105581,114731,98492,88822,112868,108593,94932,104659,89157,87599,87941,100439,102557,105534,99991,91784,113712,96662,64183,99185,83588,79189,76784,89566,92599,96638,91280,87656,105291,93689,90213,100588,88071,85666,85942,98710,105927,110376,105146,101555,117660,113788,112876,107908,108378,103591,98403,116000,115308,117447,108652,105328,119084,107951,87355,106694,89801,89776,83335,104902,105367,102884,112264,101865,119843,107134,94399,111801,97253,85565,91362,106612,110800,112219,105983,38315,25386,109749,101804,88841,93347,81234,84585,93129,107488,97473,103647,105006,121509,101019,97989,107325,92135,81199,81075,97208,107919,105629,109855,109053,125490,103788,94687,105365,88781,83971,81458,100176,116613,120510,116803,120645,130607,118320,111961,100763,87952,82355
PAS,PAS_CRD,NO_ENGM_EE_EETN,:,:,:,:,:,:,11158,11100,11128,10708,11021,11346,11665,11217,10045,9628,7757,6245,8267,9192,10742,11274,10703,10192,10747,10063,9815,9115,7328,6667,8336,9054,9894,9540,8226,8066,9244,8743,8593,7260,4183,4799,6179,6893,8457,9278,8514,8394,9193,8888,8329,6231,4826,5139,7702,9022,9696,10258,8999,9680,9766,10408,10060,8536,5286,5269,7224,8169,9518,9798,7187,8034,7622,7743,7066,6894,4985,4247,6282,8182,8531,8996,7700,7648,7416,7886,5514,6494,4749,5435,6916,7606,8590,8399,7338,8054,7948,7736,7950,6879,5608,4988,6132,7450,9843,9776,8854,9211,9531,9547,7887,8592,6812,5712,7339,9665,11434,10679,9733,10243,9356,9812,9631,7790,7064,5037,6340,8142,8818,8141,6751,7904,8223,7229,4137,4436,3583,3065,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_EL_LGRP,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4707,10935,14243,22132,12947,9038,1726,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3583,11856,14431,22721,14106,7412,961,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_EL_LGSA,:,:,:,:,:,:,:,:,9076,18838,20659,34781,21554,11933,3388,:,:,:,:,:,5970,14508,19491,30358,18686,12652,3325,201,:,:,:,:,5535,16370,22939,36543,23248,14880,2485,:,:,:,:,:,7213,18909,24092,28329,21559,15381,2318,:,:,:,:,:,6728,20037,23959,26922,19776,13429,1651,200,:,:,:,:,5960,19133,21029,29058,19260,12427,3139,:,:,:,:,:,6241,17219,19871,28131,17399,14120,3291,172,:,:,:,:,7186,15081,16301,20241,15334,14758,3713,:,:,:,:,:,5483,13158,16377,20244,15955,13600,2845,106,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8047,13496,14148,17863,15652,12017,3251,164,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_GCLP,15441,15009,26506,40161,39216,36565,42511,40691,24645,12246,15624,19660,14652,12732,17820,38895,38795,37579,37130,38363,26093,13358,13768,19210,11669,11924,22197,34769,35008,36617,33909,37514,25693,11938,13631,21344,13715,12938,26010,39241,38075,40159,38322,40213,27298,17335,16531,24244,15392,13529,21879,44648,42344,42417,40789,41202,22822,12594,14159,16866,12067,12682,19222,38161,38190,34974,37051,36516,21982,11809,14143,15848,12656,10938,28920,39678,34321,34797,32530,31703,18239,11651,10951,12075,12402,11833,13990,32426,29878,28729,25304,27219,19512,11643,9775,11841,9534,10388,22155,32865,33952,31207,22650,24310,17099,8968,9395,10476,7710,9406,16642,31664,30565,31204,27544,28020,16568,8051,6960,5619,5382,6283,13006,23057,20997,19659,18885,19942,10590,6365,7220,8152,7416,8900,17658,26861,22823,24072,24436,23968,13589,4672,6190,2710,1363,5414,13333,18035,21094,19438,14839,13417,8397,6380,5785,6543,6656,4516,13284,16563,15567,16991,14701,12773,6561,3910,4982,6584,5819,5830,11544,14199,13561,14649,12372,16190,9011,5171,5010,6814,5437,5504,9078,14181,12543,14065
PAS,PAS_CRD,NO_ENGM_ES_GCTS,:,:,:,:,:,:,13926,15471,8617,2803,3678,4563,2662,1764,7271,12518,11808,13654,12896,13389,6167,3682,3677,4250,2705,1617,5426,14032,11458,10161,11742,13553,6239,3700,3088,4761,2337,1571,9583,17395,14530,13808,14583,14450,10662,2883,3558,6232,2595,1268,6809,16604,15402,15870,16436,16223,9090,3246,2523,3158,1570,1093,10420,14733,14273,15429,10911,11459,9856,2826,3118,3137,2154,1711,11441,13635,11383,10386,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8091,10303,7251,3413,3054,3810,2635,2140,5907,11528,11265,11621,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEAL,33827,31837,33025,27903,20461,19689,16347,22258,32500,30440,32795,45592,32488,27060,24281,25863,18322,13906,12561,16363,25724,24745,25261,39521,25859,23412,23308,22712,14763,11395,11671,14901,23924,23065,25367,36637,25736,20922,22916,19298,12979,11242,11103,14285,21629,23034,24758,36348,23463,21545,18273,16450,12000,9162,10732,12946,22425,19460,19583,28878,20482,17195,15489,12662,9941,7223,7224,11105,19251,17525,18804,24151,18508,17415,15365,13766,9737,8913,8004,10566,20209,18227,19510,23010,19121,18509,13381,12851,8993,7716,7288,9329,16506,16468,16721,21103,17395,16842,14800,12181,8856,7511,7839,9814,17513,17345,17938,19017,13123,14124,16835,16588,13320,11151,10184,11992,18579,17420,17762,21587,18150,15427,14259,12197,7474,7452,6464,8128,14317,13281,13404,15913,14712,13673,13180,9794,8197,8451,7099,8600,15724,14301,12927,6102,3301,13939,10754,10032,8318,7239,9095,9617,19667,15069,15002,20734,16170,15914,14415,15517,11175,9196,8500,11085,17946,14777,15873,19805,16868,16588,14960,11035,8718,7625,6805,7751,13461,13091,11691,17443,11806,10489,11097,10099,6662,3962
PAS,PAS_CRD,NO_ENGM_ES_LEBL,33862,30785,31845,21312,12773,9392,13880,16708,32756,32062,32709,47744,31329,27723,22977,23330,11279,8499,13261,17715,30041,29140,27306,39964,30529,24744,23688,17229,8458,6760,9320,13936,26183,26665,24616,35605,27941,22691,23661,13149,8455,5108,7783,11401,23329,25497,25390,35738,25025,20389,15037,11429,6764,3064,6038,10059,16221,16074,15184,24794,16932,14596,13861,10811,5953,3013,5267,7431,17356,15749,16033,19914,16398,15179,15302,9802,8289,5837,5044,8168,15045,14060,14950,17118,14836,14634,10231,9617,6344,5266,4344,8832,11633,10988,12553,15998,12602,12548,11193,8538,6274,4283,5454,6936,10111,10221,10567,13428,11276,9664,9906,7937,5984,5171,4618,7885,12768,12929,14268,16475,14118,12410,12251,8300,5099,3684,3345,5278,10404,10984,10502,11866,11353,9412,9035,6026,3856,3207,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEMD,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1159,1968,7200,7509,9915,11247,10454,9406,9735,6124,4859,4020,3822,5802,8260,8457,8144,9302,8049,5878,5778,5763,4215,3216,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_ES_LEMG,30069,28863,32445,25973,19526,16391,15424,21309,30034,25735,27066,43048,27083,24880,23791,22596,13647,10579,11813,13767,25969,24724,24429,39560,25487,22501,22522,16214,10653,9147,8526,11749,19627,21571,20928,32837,22928,18271,19171,16503,10630,6961,7412,11731,18742,19728,21890,38679,19165,16938,15014,15986,10085,7381,8990,12323,18622,16316,15294,24562,16587,14667,16611,12513,8841,5109,5189,9649,16057,14917,14771,23369,15267,15552,14238,11068,7903,6889,6333,9700,18297,16573,16903,21796,14704,16210,11908,7141,5271,5241,5146,5760,12128,12676,13220,17849,13147,12422,11525,9955,7273,5446,4482,6585,12372,12017,13037,17374,14112,13323,14600,12399,9356,8423,7754,9446,12987,12100,11888,16375,12398,10767,10751,9504,5966,5801,4839,7199,12299,11652,11352,17508,13622,11540,12224,9351,6908,6816,6194,7470,13869,12125,10747,5639,2616,11409,9830,9135,6898,6159,6176,6350,11756,10299,8099,13488,11273,8961,9446,8896,7239,6186,5359,6601,10316,9208,8722,11303,9168,9484,10158,7037,5209,4229,3460,5659,10851,9468,8640,11064,7858,9025,7539,7930,5406,2524
PAS,PAS_CRD,NO_ENGM_ES_LEPA,30653,23333,17925,4870,2536,2130,2321,2899,19947,27484,30041,46136,28217,16309,8874,3810,8,:,:,:,9385,21649,24945,36584,25330,15810,7619,967,11,95,5,:,9541,19468,25139,42819,26420,16713,7558,1258,12,119,719,963,9618,22743,29289,40988,27801,15594,6447,1363,:,103,:,:,11355,23312,25288,34223,28237,17098,7991,1319,:,183,:,:,9186,16666,19034,27716,16075,13930,6731,488,:,171,:,:,10220,15814,18689,22126,16767,15122,4670,839,:,233,:,:,8103,17103,18586,24256,17421,14880,6704,685,:,272,:,:,6035,12798,12986,17325,13548,11977,5854,3077,1012,174,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENGM_FI_EFHK,51389,44929,39740,40975,31160,29782,30850,34943,36788,39144,36569,28428,37173,38537,33712,33884,30323,26537,27703,34036,38559,37787,35636,28893,37418,34504,31120,32500,26084,23231,25892,28683,38245,36963,35153,30663,40140,36182,34960,30869,26378,26051,27825,28780,34053,33819,32262,28842,36668,32295,30643,28543,25447,24046,23975,28358,32408,30675,29824,28796,31978,29713,28114,29502,24686,23065,22508,24901,28626,29512,30705,29982,33041,28773,25358,26766,21383,20938,19199,23319,28087,28325,30278,25194,31404,27420,14442,21681,16468,15694,17282,18870,22247,22362,21228,20060,24663,20823,19359,19642,17518,16203,18044,22091,26868,27365,25588,17771,27585,24190,22793,22892,19070,18220,15458,22711,25713,26481,21552,18276,27027,24229,18940,20054,15694,16303,15245,19136,20126,18869,15413,11059,22351,19711,15314,17400,14775,14871,14177,17003,18159,19383,16596,4624,4813,19168,18482,14292,12909,11738,12673,14687,18114,15719,15043,12610,20568,15693,14044,14832,12055,11442,10827,13500,16413,17063,16213,11611,17365,14844,12772,13963,11421,11002,10095,12729,12823,15300,16702,13297,16999,13705,11947,12609,10502,10219
PAS,PAS_CRD,NO_ENGM_FR_LFMN,28336,24161,21115,9472,3189,2963,4840,5352,20663,23481,25206,42147,26757,22614,14466,8470,3465,3374,4143,5838,16121,18701,20143,38955,21240,17525,15558,4235,2775,2663,2452,3062,14717,19728,18326,32448,20941,16318,12976,5541,3714,2575,2654,3632,15729,18444,19149,35105,20489,15454,11381,5630,2546,2699,2389,2940,14579,17904,18075,30462,18119,15028,12867,6246,2393,2532,2246,3561,14382,15725,17224,26028,17006,14350,13388,5963,3790,2875,3168,4592,13672,15708,16584,21901,16489,15195,9306,4418,2484,2625,1725,2571,8355,11904,15534,22067,15800,13192,10550,3936,2597,2492,2273,2918,13312,16745,15663,23331,18858,18340,15384,8337,4979,3383,3359,6941,18023,21410,18305,25809,19855,17308,14827,7228,2754,2272,1896,2888,13371,15049,16489,22331,17019,14513,11252,7690,4087,2523,1870,4605,14124,16194,16888,7825,3504,15345,8589,6063,3292,1629,2023,2624,12297,11376,11215,15762,12504,11032,9184,6155,2600,2070,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
