unit,tra_meas,airp_pr,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10,2015M09,2015M08,2015M07,2015M06,2015M05,2015M04,2015M03,2015M02,2015M01,2014M12,2014M11,2014M10,2014M09,2014M08,2014M07,2014M06,2014M05,2014M04,2014M03,2014M02,2014M01,2013M12,2013M11,2013M10,2013M09,2013M08,2013M07,2013M06,2013M05,2013M04,2013M03,2013M02,2013M01,2012M12,2012M11,2012M10,2012M09,2012M08,2012M07,2012M06,2012M05,2012M04,2012M03,2012M02,2012M01,2011M12,2011M11,2011M10,2011M09,2011M08,2011M07,2011M06,2011M05,2011M04,2011M03,2011M02,2011M01,2010M12,2010M11,2010M10,2010M09,2010M08,2010M07,2010M06,2010M05,2010M04,2010M03,2010M02,2010M01,2009M12,2009M11,2009M10,2009M09,2009M08,2009M07,2009M06,2009M05,2009M04,2009M03,2009M02,2009M01,2008M12,2008M11,2008M10,2008M09,2008M08,2008M07,2008M06,2008M05,2008M04,2008M03,2008M02,2008M01,2007M12,2007M11,2007M10,2007M09,2007M08,2007M07,2007M06,2007M05,2007M04,2007M03,2007M02,2007M01,2006M12,2006M11,2006M10,2006M09,2006M08,2006M07,2006M06,2006M05,2006M04,2006M03,2006M02,2006M01,2005M12,2005M11,2005M10,2005M09,2005M08,2005M07,2005M06,2005M05,2005M04,2005M03,2005M02,2005M01,2004M12,2004M11,2004M10,2004M09,2004M08,2004M07,2004M06,2004M05,2004M04,2004M03,2004M02,2004M01,2003M12,2003M11,2003M10,2003M09,2003M08,2003M07,2003M06,2003M05,2003M04,2003M03,2003M02,2003M01,2002M12,2002M11,2002M10,2002M09,2002M08,2002M07,2002M06,2002M05,2002M04,2002M03,2002M02,2002M01
PAS,PAS_CRD,NO_ENAL_TR_LTAI,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,305,1444,4398,7063,4804,1673,577,769,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_UK_EGKK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1949,2034,2592,3146,2542,2621,2252,2340,2408,1641,2226,1876,2308,1973,2366,2406,2385,2241,2155,2033,1786,1750,1894,1993,1885,2060,2297,2469,2002,2135,2155,1898,1446,1364,1708,1643,2120,1994,1637,2326,2210,1969,1989,1971,1472,1385,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAT_NO_ENGM,18347,13995,12406,14459,12489,11532,12356,11155,12494,14632,17046,23113,17465,13242,11072,14114,13043,10139,12084,11414,15835,18610,23148,32769,24378,18341,14903,13582,10629,9159,13037,9926,15061,16849,22417,27828,22734,17776,16159,13536,10660,10292,11588,10415,11949,13692,20742,28325,17865,14241,13094,12536,11001,9233,10249,9851,12420,13076,18723,23713,14837,14323,12771,12571,10902,9489,9913,10500,12623,13786,19694,25880,17862,14587,13592,14048,10747,10810,12248,12015,16907,16870,23585,26851,20829,16447,10822,13355,10745,9336,10761,11298,13747,14773,18346,23153,16601,14136,14066,14972,13883,13222,13325,13256,17779,18614,22300,30424,24833,19435,17467,19876,15033,14787,15278,15846,18870,20078,26197,29531,23817,21213,19045,20666,16145,16732,16221,18406,20060,21157,25047,27003,24385,21170,16630,19549,16999,15996,15649,15989,18368,18844,22538,9772,4629,17639,14241,13870,12615,9945,11399,10554,14595,12595,19528,23534,19973,15000,14266,13923,12254,10784,11119,11191,12553,12072,15263,19204,14955,10809,11049,9651,6832,6931,7097,7186,9359,9961,13197,17059,12216,9593,8045,7423,6298,5979
PAS,PAS_CRD,NO_ENAT_NO_ENSO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,481,1600,2681,1988,1997,2405,1967,1711,1848,1924,2102,2417,2065,2145,2618,758,421,1614,1473,1186,1203,842,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAT_NO_ENTC,15893,16074,12800,13344,10863,10829,8626,12566,15103,14813,15412,13905,17197,14881,14129,12198,11344,10393,10279,14009,13900,13513,10368,7150,12533,12332,11176,13438,10139,10228,8617,11669,13706,12933,9515,7280,13175,12266,11531,10708,9115,8996,7279,10141,13391,14625,10438,6581,14083,13599,14303,10228,10595,10195,8079,11385,13584,13031,10827,8891,11410,13634,11361,13734,11833,11380,10514,12737,13434,13547,10984,6697,13745,13526,10552,10220,8370,8074,7103,9280,8761,8625,7604,5886,9444,7374,6526,9501,8973,7645,7929,10561,10364,9486,8816,6416,9398,8434,8659,8939,7599,7453,6348,7538,8997,8357,6363,5202,8706,7806,9340,7974,8631,8406,6991,8847,9462,8476,7669,5773,8854,8063,7708,8987,7670,7555,6584,8701,9198,8492,7715,6218,9070,8414,7151,9643,8503,7983,7057,8733,8763,9038,7366,2281,2026,8779,8430,6965,8015,7248,7202,7910,9515,7295,7742,7618,8942,7355,7456,8445,7632,7817,6344,8517,9203,8617,9065,9660,9189,8025,8095,9015,8764,8404,7535,9594,10630,9446,9686,11133,9779,9289,10319,12419,11508,11344
PAS,PAS_CRD,NO_ENAT_NO_ENVD,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1107,1526,1559,1505,1232,945,1399,1329,1251,1635,1163,1232,1218,1574,1579,1511,1329,840,1505,1305,1233,1396,1225,1155,:,:,:,:,:,:,:,:,:,:,:,:,1326,1756,1760,1573,1336,985,1182,1517,1307,1647,1584,1578,1393,1864,1633,1535,1388,1052,1366,1525,1284,1661,1532,1523,1315,1722,1662,1536,1379,934,1430,1295,977,1966,1883,1780,1573,2189,2229,1999,1454,1063,1551,1677,1547,2104,1894,1664,1581,2073,2134,1803,1461,1228,1792,1763,2004,2002,1872,1800,1622,2156,2337,2259,2041,1476,1957,2083,1869,1969,1778,1594,1621,2119,1980,1696,1560,978,1674,1666,1408,1641,1269,1350,1272,1765,1629,1819,1307,324,339,1386,1726,1285,1653,1493,1381,1698,1770,1337,1344,692,1381,1144,1418,1623,1641,1495,1273,1611,1802,1581,1418,837,1434,1530,1559,1580,1438,1344,1164,1631,1892,1533,1359,794,1425,1353,1602,1323,1387,1243
PAS,PAS_CRD,NO_ENBL_NO_ENBR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,896,1153,1198,1113,1056,607,1105,1137,1160,904,1071,1031,943,1169,1246,1031,1084,531,1093,1088,942,1128,911,997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBL_NO_ENGM,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4562,5452,6229,6080,5078,4916,5627,6011,6247,5284,5052,5025,4539,5536,6124,5457,5445,4452,5612,5500,4606,5737,4691,5070,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENBN_NO_ENBO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1495,1857,2073,1848,1457,1583,1917,1816,2207,1651,1998,1571,1657,2094,2159,1839,1579,1901,2053,2214,1714,2194,1855,1844,1411,1955,1915,1544,1470,1525,1736,1787,1630,1912,1515,1493,1536,1904,1783,1669,1604,440,478,1780,1880,1510,2077,1496,1450,1652,1892,1435,1538,1216,1829,1572,1541,1724,1685,1439,1511,1789,2000,1803,1598,1324,1758,1669,1553,1680,1562,1299,1447,1819,1919,1849,1494,1607,1842,1483,1788,1461,1510,1452
PAS,PAS_CRD,NO_ENBN_NO_ENGM,:,:,:,:,:,:,941,832,1404,1486,1383,1607,1399,1309,1201,688,499,999,978,1219,1681,1456,1602,2370,1743,1393,1188,1687,1239,892,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
