name,year,fldRecoverableLiquids,fldRecoverableGas
JOHAN SVERDRUP,2010,1799.6,54.1
MARIA,2010,171.1,13.8
MARTIN LINGE,1978,81.8,162.3
TRESTAKK,1986,67.9,4.4
BAUGE,2013,47.6,10.5
ODA,2011,45.3,1.9
HANZ,1997,15.1,2.5
UTGARD,1982,12.6,12.0
AASTA HANSTEEN,1997,5.7,286.2
DVALIN,2010,3.8,112.6
TROLL BRENT B,2005,3.8,0.0
