name,year,fldRecoverableLiquids,fldRecoverableGas
7220/11-1 (Alta),2014,166.1,61.0
30/11-8 S (Krafla),2011,130.6,111.5
35/9-7 (Skarfjell),2012,74.8,17.4
34/6-2 S (Garantiana),2012,69.8,0.8
25/2-10 S (Frigg-GammaDelta),1986,60.6,14.6
25/8-4 (D-struktur),1992,52.5,0.0
31/7-1 (Brasse),2016,47.1,15.3
25/2-18 S (Langfjellet),2016,41.9,7.1
16/4-6 S (Luno II),2013,40.3,8.8
16/1-12 (Rolvsnes),2009,33.1,2.8
25/11-27,2013,27.4,0.0
34/4-11 (Beta),2010,25.0,2.0
36/7-4 (Cara),2016,22.0,24.8
6406/2-1 LAVRANS,1995,20.1,58.7
2/12-1 MJØLNER,1987,16.0,6.9
25/5-9 (Trell),2014,13.4,0.0
6506/9-2 S (Fogelberg),2010,13.2,46.7
6407/6-6 MIKKEL SØR,2008,7.4,13.5
6407/2-6 S (Flyndretind),2010,3.1,12.0
6507/3-8 (Gjøk),2009,2.1,8.8
6705/10-1 (Asterix),2009,1.9,108.0
7122/6-1 (Tornerose),1987,1.1,23.2
